,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbol
ENSMUSG00000000001,3886.694875956162,0.04330369481621245,0.09010654111902185,0.48058325487172504,0.6308127189466141,0.8455041306663382,Gnai3
ENSMUSG00000000028,177.75145594148077,0.2758981088930281,0.3194257356438904,0.8637316224282293,0.38773533794041837,0.7084157906624553,Cdc45
ENSMUSG00000000037,98.33678577877897,-0.47146261609690393,0.3151546234357352,-1.4959723927167528,0.1346608495614571,0.4781827874458069,Scml2
ENSMUSG00000000056,481.23028785076457,0.4022510209187077,0.2028351429782675,1.9831426399408822,0.047351498867636704,0.32641713716447784,Narf
ENSMUSG00000000058,2651.811710921711,-0.09158680231448908,0.18080198236618253,-0.5065586179746424,0.6124645503755407,0.8373768497879606,Cav2
ENSMUSG00000000078,2440.154959783169,0.19454108933327594,0.052537947786637,3.7028680702057675,0.00021317575380730495,0.03518814534027609,Klf6
ENSMUSG00000000085,631.2335138862315,-0.07622130227258507,0.09344838516960809,-0.8156513580651396,0.4146995667099893,0.7285954136809039,Scmh1
ENSMUSG00000000088,1333.299127094306,0.11603847900226788,0.06938750290061162,1.6723253345559588,0.09446018652917586,0.41958260339636166,Cox5a
ENSMUSG00000000093,70.2432768687527,-1.2082093696221374,0.42583632488450585,-2.837262344751413,0.004550220729304837,0.13730893693562957,Tbx2
ENSMUSG00000000120,826.2910396743965,0.04744863064049274,0.15266745140330415,0.3107972930991486,0.7559547276437689,0.9047632127313534,Ngfr
ENSMUSG00000000126,1163.7788053592785,0.19611984692935253,0.2538383794840183,0.7726169987690938,0.43974908127519696,0.7461120715664834,Wnt9a
ENSMUSG00000000127,495.1603247455606,-0.14013580885579954,0.11098291183566951,-1.2626791506722785,0.20670450980822874,0.5588348390918424,Fer
ENSMUSG00000000131,1331.9153761498185,-0.02738223681460725,0.09389439252893854,-0.29162803099416146,0.7705710409687011,0.9120348712468936,Xpo6
ENSMUSG00000000134,543.5412650453932,0.2646847385552374,0.13589399977003164,1.9477293994080203,0.05144735037870394,0.33689207721159475,Tfe3
ENSMUSG00000000142,88.22554344529522,-0.22794220230045217,0.3458854270250231,-0.6590107142153799,0.5098888885404426,0.784769472222261,Axin2
ENSMUSG00000000148,238.25421467683415,0.07451343166455313,0.13079389026396132,0.5697011650481077,0.5688803997484719,0.8169167246697681,Brat1
ENSMUSG00000000149,349.8699679881004,-0.056950447902013666,0.10436243999273083,-0.545698700662618,0.5852730652452423,0.8247497615040444,Gna12
ENSMUSG00000000154,344.2506666624973,0.03401205744387419,0.16881574151811918,0.20147444271495052,0.8403276114439764,0.9404573744510772,Slc22a18
ENSMUSG00000000167,18.78766838389848,-0.17001140865251896,0.3983286414713185,-0.4268119109500705,0.6695163302820804,0.8655923622381095,Pih1d2
ENSMUSG00000000168,734.0643568151819,0.11512253522640375,0.09228025484982517,1.247531613493608,0.21220263600887168,0.5646546471041716,Dlat
ENSMUSG00000000171,1034.0819732838856,0.11748302506732843,0.06408907603692328,1.8331209050297992,0.06678459290681954,0.3682513012042281,Sdhd
ENSMUSG00000000184,2352.213153277173,1.1683989988584673,0.29005048729686816,4.02826076848685,5.6190998917016116e-05,0.015001826065032533,Ccnd2
ENSMUSG00000000194,1209.4947400755523,0.10163382741160175,0.0709399772191943,1.4326735276157176,0.15195115816032492,0.4985289533601034,Gpr107
ENSMUSG00000000197,12.868439467484261,-0.44236271490280415,0.6595386607308747,-0.6707153670303349,0.5024018714178233,0.7815306907152596,Nalcn
ENSMUSG00000000204,537.4709272261024,1.0361388597627756,0.7726976491361568,1.3409369899353711,0.17994091123045752,0.5318133711758102,Slfn4
ENSMUSG00000000216,10.67382380845288,-0.8587403995159525,0.47923223445781926,-1.7919086776111603,0.0731475957212796,0.3807933559222418,Scnn1g
ENSMUSG00000000223,9.525796946077756,0.7762544029845971,0.5499846734877955,1.4114109727129018,0.15812346940348254,0.506714743787354,Drp2
ENSMUSG00000000248,198.9181624145072,-0.7225759354181222,0.5941325106775162,-1.2161864944810648,0.22391388728103578,0.5767751689460248,Clec2g
ENSMUSG00000000253,574.9531353130303,-0.48315549379683675,0.2112939282402128,-2.2866511017181423,0.02221619595286617,0.2502563658615004,Gmpr
ENSMUSG00000000266,1194.2143822006474,0.1491486652693305,0.07146444349573186,2.087033187045502,0.03688513473603095,0.2998459439240114,Mid2
ENSMUSG00000000275,3922.8581334085507,-0.088424171216983,0.1523129338339535,-0.5805427614793376,0.5615486588501379,0.8130319683563373,Trim25
ENSMUSG00000000276,160.46480404856518,-0.23006600327302967,0.22548052524011913,-1.0203364704247844,0.3075689123512858,0.650061661904449,Dgke
ENSMUSG00000000278,444.513642593538,-0.9811204129054862,0.31820245278349213,-3.0833213393645633,0.002047039838141068,0.09956881416685028,Scpep1
ENSMUSG00000000282,444.7178594195902,0.35117598370361286,0.09602326558963949,3.657196842319257,0.00025498856312998334,0.03768426600929812,Mnt
ENSMUSG00000000290,13.681016647680991,0.28103053276527273,0.7307558502697535,0.38457513909951213,0.7005522162262435,0.8786696041868952,Itgb2
ENSMUSG00000000295,175.84083054257786,0.11840134563886084,0.21787007923800356,0.5434493164594574,0.5868204783390784,0.8252775859857664,Hddc2
ENSMUSG00000000296,106.23016563597334,0.10700652934032769,0.18337569488430772,0.5835371443736774,0.559531759590741,0.8118658853210309,Tpd52l1
ENSMUSG00000000301,15.006567732197983,-0.392420073727747,0.31889442948599545,-1.2305642163780115,0.2184858955802712,0.5707312576303778,Pemt
