,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbol
ENSMUSG00000000001,3760.2183510745144,0.18373639210470227,0.1716692005243113,1.0702932823333213,0.2844873172192023,0.8050001651394478,Gnai3
ENSMUSG00000000028,157.79894535403685,0.587062750752868,0.5257815197825915,1.116552652888249,0.2641856454518926,0.7938129992021237,Cdc45
ENSMUSG00000000037,104.47178412288237,-0.17271708240818323,0.33496711706659316,-0.5156239929480785,0.6061170495499582,0.9278628671327056,Scml2
ENSMUSG00000000056,476.09588186386037,0.6115009745318648,0.3037468123879094,2.013193059458113,0.044094323117868255,0.6279549572738463,Narf
ENSMUSG00000000058,2826.2159745484605,-0.08104604499306753,0.19652646487185868,-0.4123925245686989,0.6800517414629587,0.9439483333163076,Cav2
ENSMUSG00000000078,2413.8487512498714,0.324930516436919,0.23110429300950963,1.405990828666902,0.15972684816788452,0.7525358678868924,Klf6
ENSMUSG00000000085,641.7110670030778,-0.251975001566477,0.1222279170804176,-2.0615175942227237,0.03925368669966386,0.6221232238707106,Scmh1
ENSMUSG00000000088,1258.710978502559,0.14072577145031542,0.11152090786619909,1.2618779217539713,0.20699271762577487,0.7686411161021413,Cox5a
ENSMUSG00000000093,63.86863381650979,-0.8702185170476732,0.5220417423417827,-1.6669519819316245,0.09552395334836411,0.6922689371986123,Tbx2
ENSMUSG00000000120,896.5076571346959,-0.44660695679055396,0.291588506035829,-1.531634298149177,0.125612703850268,0.7325411740215646,Ngfr
ENSMUSG00000000126,1102.756737193455,0.08121060642113308,0.28870714954172966,0.2812905968904484,0.7784875218720704,0.9637497636644758,Wnt9a
ENSMUSG00000000127,486.84862949029787,0.09031845701008437,0.11320546132481742,0.797827736869832,0.4249704629481226,0.8733508593366412,Fer
ENSMUSG00000000131,1373.9241078137832,-0.2804389938564012,0.12814860703677664,-2.1883889364159814,0.028641283486024408,0.5844250421830631,Xpo6
ENSMUSG00000000134,541.1452053122301,0.18218454413366983,0.1953075280348864,0.9328086119707966,0.3509187939198183,0.8431473278700059,Tfe3
ENSMUSG00000000142,70.11458415964226,-0.2563074297616034,0.4979767963969139,-0.5146975353392025,0.6067643959887365,0.9280422568272915,Axin2
ENSMUSG00000000148,250.70605780473932,-0.18607992743789883,0.14827575966717416,-1.2549585168579238,0.20949381947015522,0.7692603238399649,Brat1
ENSMUSG00000000149,357.78147466152546,-0.07338530037168033,0.12412706945503352,-0.5912110927444799,0.5543789911754975,0.9154101125733871,Gna12
ENSMUSG00000000154,380.34913670569733,-0.19056645162389038,0.24563879198370336,-0.7757994984624957,0.43786738013916526,0.8768294287286784,Slc22a18
ENSMUSG00000000167,18.14002049773646,0.013876557643763963,0.43754203651717916,0.031714798775040964,0.974699493107827,0.9976284580135342,Pih1d2
ENSMUSG00000000168,743.32524936873,0.022400979312481323,0.12665743485406003,0.17686272691605245,0.859616216627498,0.9806870886621086,Dlat
ENSMUSG00000000171,1010.1931225373373,0.1340725846574862,0.08454968751015324,1.5857253717393804,0.11280162111037845,0.7144277556558247,Sdhd
ENSMUSG00000000184,2241.293740357147,0.7273369211295696,0.33370081610039315,2.1796078584079694,0.029286541796617133,0.5844250421830631,Ccnd2
ENSMUSG00000000194,1214.3186501833052,-0.10913040936191477,0.09639269413901076,-1.1321439901299424,0.2575739031571248,0.7903576527597382,Gpr107
ENSMUSG00000000197,8.227900170612221,-1.0987105860981505,0.9637031975557762,-1.1400922907434479,0.2542478533866387,0.7884520654898335,Nalcn
ENSMUSG00000000204,769.8030764081215,0.41423807569876364,1.1816712555917195,0.350552722458612,0.7259239302559077,0.9542326746549612,Slfn4
ENSMUSG00000000216,18.092562586101838,-0.36647568930958174,0.6166378886282938,-0.5943126364239538,0.5523030284254813,0.9140972449051072,Scnn1g
ENSMUSG00000000223,8.856307395829544,0.9770974484938303,0.6978176672335616,1.4002188456584217,0.16144779409478316,0.7528411428083129,Drp2
ENSMUSG00000000248,274.8317244248094,-0.988706798390169,0.7323372507639136,-1.350070336254003,0.17699342242104232,0.7591811029795363,Clec2g
ENSMUSG00000000253,718.1454320166598,-0.503807442253498,0.3294869073161812,-1.529066652017332,0.1262479214290091,0.7325411740215646,Gmpr
ENSMUSG00000000266,1131.9494893272354,0.11444064141921408,0.17859008480387867,0.6408006443632565,0.5216522142397201,0.9046771293984561,Mid2
ENSMUSG00000000275,3624.2244083836567,0.017229762869961047,0.22765288563585515,0.07568435964181501,0.9396702194980356,0.9928177757076736,Trim25
ENSMUSG00000000276,182.2728511648942,-0.552145479582834,0.28803246922188175,-1.9169556858449055,0.05524356165671357,0.6581378644614774,Dgke
ENSMUSG00000000278,471.24223413205175,-1.4093574229798147,0.4777540236563184,-2.9499645281766655,0.0031781041515195636,0.49172709838841355,Scpep1
