,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbol
ENSMUSG00000000001,3760.2183510745144,0.13007807489183196,0.1716456067877346,0.7578293282664257,0.4485531624662129,0.9997037214737662,Gnai3
ENSMUSG00000000028,157.79894535403685,0.2236063452805018,0.5235452120040684,0.4271003538062424,0.6693062352695185,0.9997037214737662,Cdc45
ENSMUSG00000000037,104.47178412288237,0.09105313049182179,0.3329202644789177,0.2734983123792026,0.784470189434904,0.9997037214737662,Scml2
ENSMUSG00000000056,476.09588186386037,0.32012895294117,0.3038162785037162,1.0536925622214621,0.2920236953020353,0.9997037214737662,Narf
ENSMUSG00000000058,2826.2159745484605,-0.31017282157037407,0.1965482815744054,-1.5780998901939263,0.11454266344283141,0.9997037214737662,Cav2
ENSMUSG00000000078,2413.8487512498714,0.10258602886062551,0.231161064806867,0.4437859331818498,0.6571973595175971,0.9997037214737662,Klf6
ENSMUSG00000000085,641.7110670030778,-0.04405527233379332,0.12205517850770659,-0.36094554014364627,0.7181401590262717,0.9997037214737662,Scmh1
ENSMUSG00000000088,1258.710978502559,0.043969990879761986,0.11147145776105084,0.3944506671296579,0.6932483426798237,0.9997037214737662,Cox5a
ENSMUSG00000000093,63.86863381650979,-0.31666457159493455,0.5166706664858569,-0.6128944260542857,0.539946149083034,0.9997037214737662,Tbx2
ENSMUSG00000000120,896.5076571346959,-0.2395427198076568,0.2919404139248752,-0.8205192168745028,0.41192017881195464,0.9997037214737662,Ngfr
ENSMUSG00000000126,1102.756737193455,-0.8088444338993418,0.28896033843064206,-2.7991538156835505,0.00512367240328501,0.8595041470157844,Wnt9a
ENSMUSG00000000127,486.84862949029787,-0.1675627613364664,0.11249700099836765,-1.4894864738562918,0.13635931254975187,0.9997037214737662,Fer
ENSMUSG00000000131,1373.9241078137832,-0.23537735536857535,0.1284167709085208,-1.83291756756794,0.06681483079953715,0.9997037214737662,Xpo6
ENSMUSG00000000134,541.1452053122301,0.09657272957150764,0.19552148906794248,0.49392386500263014,0.6213599495824367,0.9997037214737662,Tfe3
ENSMUSG00000000142,70.11458415964226,0.6462653547769618,0.49583380076541095,1.3033910834221707,0.19244127908506414,0.9997037214737662,Axin2
ENSMUSG00000000148,250.70605780473932,-0.10583605899069028,0.14927505995866366,-0.709000277876276,0.47832430440206397,0.9997037214737662,Brat1
ENSMUSG00000000149,357.78147466152546,-0.035054805692049676,0.12413534788445216,-0.28239181095041066,0.7776430935049932,0.9997037214737662,Gna12
ENSMUSG00000000154,380.34913670569733,-0.289005294207822,0.24621730253562807,-1.1737814167873213,0.24048258925592636,0.9997037214737662,Slc22a18
ENSMUSG00000000167,18.14002049773646,-0.031460428485972566,0.42375765092351303,-0.07424155863005545,0.9408181780696236,0.9997037214737662,Pih1d2
ENSMUSG00000000168,743.32524936873,0.08297756986993811,0.12662692466554418,0.6552916774146117,0.5122799781917243,0.9997037214737662,Dlat
ENSMUSG00000000171,1010.1931225373373,0.07578661516166486,0.08427936595921663,0.899230960023341,0.3685296527065016,0.9997037214737662,Sdhd
ENSMUSG00000000184,2241.293740357147,0.39517880615140494,0.3337985569271901,1.1838841059987069,0.23645894263262135,0.9997037214737662,Ccnd2
ENSMUSG00000000194,1214.3186501833052,-0.08535970267655321,0.09662191863196629,-0.8834403609980988,0.37699839194036333,0.9997037214737662,Gpr107
ENSMUSG00000000197,8.227900170612221,-0.13364683216575146,0.9650161705622592,-0.13849180588122495,0.8898517451740856,0.9997037214737662,Nalcn
ENSMUSG00000000204,769.8030764081215,-0.9851986461388098,1.1816509925653094,-0.8337475721151719,0.4044232445775484,0.9997037214737662,Slfn4
ENSMUSG00000000216,18.092562586101838,0.35060666055791057,0.5950683560004496,0.5891872034910317,0.5557357003626372,0.9997037214737662,Scnn1g
ENSMUSG00000000223,8.856307395829544,0.6611448870620764,0.697569277593289,0.947783837819117,0.34323951006167797,0.9997037214737662,Drp2
ENSMUSG00000000248,274.8317244248094,-0.7832963539876369,0.7319745801079185,-1.0701141477783993,0.28456793166636285,0.9997037214737662,Clec2g
ENSMUSG00000000253,718.1454320166598,-0.598031770108907,0.32941410231756,-1.8154407048803138,0.06945621047015078,0.9997037214737662,Gmpr
ENSMUSG00000000266,1131.9494893272354,0.22637246299150968,0.17881418678722513,1.265964781982736,0.20552569125302278,0.9997037214737662,Mid2
ENSMUSG00000000275,3624.2244083836567,-0.03369588676537452,0.22770727496964308,-0.14797896452744738,0.8823593693327311,0.9997037214737662,Trim25
ENSMUSG00000000276,182.2728511648942,-0.07605971379800222,0.2897868558770986,-0.26246778366738577,0.7929608198451739,0.9997037214737662,Dgke
ENSMUSG00000000278,471.24223413205175,0.04907447530628675,0.4780637943279558,0.1026525662234552,0.9182387213508727,0.9997037214737662,Scpep1
ENSMUSG00000000282,436.4799519915695,0.08153998899583362,0.1746309019068776,0.46692760619947454,0.6405516734910852,0.9997037214737662,Mnt
ENSMUSG00000000290,10.600798592695636,0.449690047672995,1.1230005129620253,0.4004361907964698,0.688835272723464,0.9997037214737662,Itgb2
ENSMUSG00000000295,155.54493068558608,0.1767428085339721,0.3062924859089592,0.5770393224289094,0.5639128922936705,0.9997037214737662,Hddc2
ENSMUSG00000000296,107.80629866711577,-0.16273549982285904,0.2832663747128241,-0.5744963551986731,0.5656319662789973,0.9997037214737662,Tpd52l1
ENSMUSG00000000301,13.05037761629794,-0.4440150721068092,0.4933125232925899,-0.9000685187216669,0.3680837881754683,0.9997037214737662,Pemt
ENSMUSG00000000303,8375.126790164724,0.2475167135921493,0.14545517256413326,1.7016700694024178,0.08881723420414052,0.9997037214737662,Cdh1
ENSMUSG00000000305,90.9433244819358,-0.9670852091082426,0.6608494116983701,-1.4633972460122986,0.1433587118230582,0.9997037214737662,Cdh4
ENSMUSG00000000308,3766.205515379779,0.016548133623399776,0.18647351237912949,0.08874254263927234,0.9292865217543199,0.9997037214737662,Ckmt1
ENSMUSG00000000317,5.769935286826918,1.0803397166984081,0.8519874753589518,1.2680230026189632,0.20478973615236462,0.9997037214737662,Bcl6b
ENSMUSG00000000320,984.8559851011546,-0.14240932835990533,0.41026559860179,-0.3471149636850979,0.7285049522172296,0.9997037214737662,Alox12
ENSMUSG00000000326,581.5555358059133,0.1684130750979123,0.1291160400852087,1.3043544007914896,0.19211277491527057,0.9997037214737662,Comt
