,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbol
ENSMUSG00000000001,3760.2183510745144,0.01766389294050781,0.17169131953332956,0.10288168900163186,0.9180568706340877,0.9998961089320811,Gnai3
ENSMUSG00000000028,157.79894535403685,-0.38420840651600574,0.5240730879626903,-0.7331198936575776,0.46348530768084584,0.9998961089320811,Cdc45
ENSMUSG00000000037,104.47178412288237,-0.0021290314885582954,0.3328709963176022,-0.006395965740814868,0.9948967924779937,0.9998961089320811,Scml2
ENSMUSG00000000056,476.09588186386037,0.34267397499388264,0.30334582160612517,1.1296479153051349,0.2586246123098762,0.9966154069788692,Narf
ENSMUSG00000000058,2826.2159745484605,0.06429438736758825,0.1964984628479151,0.32720045966644784,0.743516273243615,0.9998961089320811,Cav2
ENSMUSG00000000078,2413.8487512498714,0.23132081218581366,0.23119020486391498,1.000564934496146,0.3170371898694285,0.9998961089320811,Klf6
ENSMUSG00000000085,641.7110670030778,0.09520051625363367,0.12223980560981637,0.778801273273529,0.4360967875773688,0.9998961089320811,Scmh1
ENSMUSG00000000088,1258.710978502559,0.09493066360147392,0.11166471754250609,0.8501401847484886,0.3952471524062231,0.9998961089320811,Cox5a
ENSMUSG00000000093,63.86863381650979,-0.2888621026797162,0.5262918374371297,-0.5488629732248572,0.5830994900029052,0.9998961089320811,Tbx2
ENSMUSG00000000120,896.5076571346959,0.32659401065078303,0.2915973427176458,1.1200171016888332,0.2627064744707588,0.9966154069788692,Ngfr
ENSMUSG00000000126,1102.756737193455,-0.23280799649774644,0.2887264873271107,-0.8063271182805899,0.42005425810492325,0.9998961089320811,Wnt9a
ENSMUSG00000000127,486.84862949029787,-0.25925089060825185,0.11263451545765477,-2.301700234203235,0.021352082989173453,0.7179044791693208,Fer
ENSMUSG00000000131,1373.9241078137832,0.059333856345582844,0.12824686614562944,0.4626534599154015,0.6436127826288656,0.9998961089320811,Xpo6
ENSMUSG00000000134,541.1452053122301,0.16731816386130555,0.19537399602391173,0.8563993533757048,0.3917769222361219,0.9998961089320811,Tfe3
ENSMUSG00000000142,70.11458415964226,0.020680844240483484,0.5079691883844141,0.04071279265236244,0.9675248629902596,0.9998961089320811,Axin2
ENSMUSG00000000148,250.70605780473932,0.14801515284789896,0.14788195592315828,1.000900697613236,0.316874819255041,0.9998961089320811,Brat1
