,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbol
ENSMUSG00000000001,3760.2183510745144,0.0717070947391434,0.17168232462069535,0.4176731349460043,0.6761861169386865,0.986506887136214,Gnai3
ENSMUSG00000000028,157.79894535403685,-0.2243296361203681,0.5267586937970186,-0.4258679330061734,0.670204082451241,0.9860849595982447,Cdc45
ENSMUSG00000000037,104.47178412288237,0.2777885390513188,0.33186211677568406,0.8370601072224364,0.4025587826304752,0.9402195033058491,Scml2
ENSMUSG00000000056,476.09588186386037,-0.4019474459290748,0.30424334148200854,-1.3211380205434797,0.18645534774225714,0.7932358315959662,Narf
ENSMUSG00000000058,2826.2159745484605,0.19415025901611466,0.19646943234886877,0.9881957549068703,0.3230567868029295,0.9057790671710553,Cav2
ENSMUSG00000000078,2413.8487512498714,0.34971349292666,0.2311214785348421,1.5131155059391845,0.13025032158604252,0.7406949310910429,Klf6
ENSMUSG00000000085,641.7110670030778,-0.07945978437108489,0.1220785868852452,-0.6508904337644218,0.5151172171168401,0.9631274773925722,Scmh1
ENSMUSG00000000088,1258.710978502559,-0.1282438783003226,0.11191025347970955,-1.1459528891476822,0.2518146455587771,0.85717881346852,Cox5a
ENSMUSG00000000093,63.86863381650979,0.9416946611199529,0.5215220181362261,1.805666162447573,0.07097050116778322,0.6318084851429526,Tbx2
ENSMUSG00000000120,896.5076571346959,-0.2892006911582124,0.2913935387229617,-0.9924746184340274,0.3209660549260611,0.905168995642747,Ngfr
ENSMUSG00000000126,1102.756737193455,-0.30524997382800784,0.2888441174679253,-1.0567983052724081,0.2906036479395847,0.8888984787266889,Wnt9a
ENSMUSG00000000127,486.84862949029787,-0.04594904793446475,0.11306710387455464,-0.40638741384447385,0.6844579660373835,0.9886736974794521,Fer
ENSMUSG00000000131,1373.9241078137832,-0.2315911297085138,0.12806386088519317,-1.8084034645506344,0.0705437291192918,0.6303109969930423,Xpo6
ENSMUSG00000000134,541.1452053122301,-0.04107613431000703,0.19535509383498453,-0.2102639532128291,0.83346166755229,0.9968463747682587,Tfe3
ENSMUSG00000000142,70.11458415964226,0.4320217106624228,0.5036493453686606,0.8577827304554364,0.39101244744760366,0.9355453787528517,Axin2
ENSMUSG00000000148,250.70605780473932,-0.2637117064155331,0.14757153676253087,-1.7870092851299137,0.07393598787247849,0.6373176512067402,Brat1
ENSMUSG00000000149,357.78147466152546,0.08668933228811847,0.1232199163585516,0.7035334453227953,0.48172337137487375,0.9631274773925722,Gna12
ENSMUSG00000000154,380.34913670569733,-0.05186795605508958,0.2448755433781565,-0.2118135414404815,0.8322525036736272,0.9968463747682587,Slc22a18
ENSMUSG00000000167,18.14002049773646,0.1110048621967007,0.4323876795094987,0.25672531262367326,0.7973908296403796,0.9968463747682587,Pih1d2
ENSMUSG00000000168,743.32524936873,-0.07465306284790187,0.12655188198914638,-0.5899008507380745,0.5552571237337424,0.9686378326178564,Dlat
ENSMUSG00000000171,1010.1931225373373,-0.07076076482419123,0.08460718988234629,-0.8363445816199577,0.40296107962788685,0.9402195033058491,Sdhd
ENSMUSG00000000184,2241.293740357147,-0.8592513878781056,0.3336551302707386,-2.575268023545393,0.010016243667786333,0.3817832122072265,Ccnd2
ENSMUSG00000000194,1214.3186501833052,-0.15515136280614944,0.09632911822895338,-1.6106382541298507,0.10725859091149814,0.7048182586191301,Gpr107
