,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001,1219.011406442459,-0.07286333358257778,0.05100377799711146,-1.4285869879424287,0.15312297626081053,0.999911103614973
ENSMUSG00000000028,54.88847438818584,0.093420119263946,0.17236282097295078,0.5419969268117665,0.5878206229743156,0.999911103614973
ENSMUSG00000000037,27.336317178313845,-0.0693688277740774,0.23229682549550723,-0.29862150559357964,0.7652288546788276,0.999911103614973
ENSMUSG00000000049,17.360795688537795,0.4088000977257584,0.37981087924549634,1.0763254031528795,0.2817817514007491,0.999911103614973
ENSMUSG00000000056,828.7240410837284,0.03971733801380115,0.15705475313776995,0.2528884813754138,0.8003543907612458,0.999911103614973
ENSMUSG00000000058,1164.4334022954067,-0.09497271783485983,0.15425158477356554,-0.6157001107915718,0.5380924641782396,0.999911103614973
ENSMUSG00000000078,1177.0608023089749,0.00621603403996468,0.09334408068005033,0.06659269655534977,0.946905960145128,0.999911103614973
ENSMUSG00000000085,560.5502555530231,0.008187672755719036,0.10826097102386817,0.07562903489858695,0.9397142361019347,0.999911103614973
ENSMUSG00000000088,2642.6775326134766,-0.06014090736869343,0.0817636523848242,-0.7355457543119236,0.462007185394796,0.999911103614973
ENSMUSG00000000093,700.3461478557323,0.09300846825007324,0.11599415316358254,0.8018375557163352,0.42264693118501573,0.999911103614973
ENSMUSG00000000120,7323.718452526963,-0.08714148095868729,0.25591516629715605,-0.3405092485120749,0.7334730591644205,0.999911103614973
ENSMUSG00000000125,23.115661306549924,-0.5779866297570668,0.30512661117011736,-1.8942517912173242,0.058191596622609296,0.999911103614973
ENSMUSG00000000126,182.48165738569045,-0.1645740436995269,0.11420431647678175,-1.4410492420659557,0.14957077177556605,0.999911103614973
ENSMUSG00000000127,296.3498633665323,-0.05752753260161773,0.0882932109421096,-0.6515510307959723,0.5146908467240316,0.999911103614973
ENSMUSG00000000131,1445.4915210365086,0.015674113050975387,0.05093282334830751,0.30774090302803203,0.7582794930004217,0.999911103614973
ENSMUSG00000000134,831.3377029194056,0.09414869338919188,0.052175978052705844,1.8044452045362154,0.07116154192240214,0.999911103614973
ENSMUSG00000000142,196.66895925719888,-0.25947627491412106,0.12626432814901972,-2.0550243977687974,0.03987664824680838,0.999911103614973
ENSMUSG00000000148,477.95283261003414,0.041543288723789956,0.07830122986603193,0.5305572951391402,0.5957255953958183,0.999911103614973
ENSMUSG00000000149,2332.236498560974,0.04798093280894233,0.09070445594814892,0.5289809889424899,0.5968186379706764,0.999911103614973
ENSMUSG00000000154,194.64864716810206,-0.04167540871196927,0.15172238560646317,-0.2746820025626723,0.7835605593670794,0.999911103614973
ENSMUSG00000000167,13.611019987942921,-0.006654370055076129,0.39620807551292364,-0.016795139893253073,0.986600047154744,0.999911103614973
ENSMUSG00000000168,2240.002285868756,-0.062219699935274125,0.07191160219079262,-0.8652247765276543,0.3869154289457174,0.999911103614973
ENSMUSG00000000171,1744.703688792136,0.004123330858442102,0.13931679162554336,0.029596797416386243,0.9763886194877105,0.999911103614973
ENSMUSG00000000184,205.7297574300139,-0.02299066238342057,0.12097872617734146,-0.19003888625607446,0.8492786589083312,0.999911103614973
ENSMUSG00000000194,1157.907560609489,-0.08342181620496732,0.1163574828662585,-0.7169441461779686,0.4734085608946976,0.999911103614973
ENSMUSG00000000197,757.2131588737917,-0.0896341010157418,0.19234359811498783,-0.46601031640344115,0.6412081162000375,0.999911103614973
ENSMUSG00000000202,10.402537754865914,-0.5572531293552828,0.5074746252199042,-1.0980906269230863,0.2721649178089681,0.999911103614973
ENSMUSG00000000204,10.360194869086454,-0.7560063141209381,0.513848686804342,-1.4712625205341865,0.14122013501155972,0.999911103614973
ENSMUSG00000000214,280.84016608257156,0.32309009905366637,0.3611306702649055,0.8946625851984972,0.3709674850103387,0.999911103614973
ENSMUSG00000000223,12267.77918921863,0.2172891288996179,0.2282257249856,0.9520799152388622,0.3410564542021711,0.999911103614973
ENSMUSG00000000247,5.289294154900053,4.825878181289736,1.273655709774611,3.7889974066411827,0.00015125649263711454,0.23182948719500263
ENSMUSG00000000253,817.1318017241863,0.06399939138482977,0.09433457223457933,0.6784298679564066,0.49749917676636657,0.999911103614973
ENSMUSG00000000266,717.320370227835,-0.05970969211737596,0.08992035055332566,-0.664028684829984,0.5066719520930772,0.999911103614973
ENSMUSG00000000275,335.57000874122394,-0.018278126152888693,0.14158890915529163,-0.12909292303990877,0.8972841217489125,0.999911103614973
ENSMUSG00000000276,554.8432624063597,0.21101843116513946,0.13005423115756484,1.6225418372546752,0.10468738261601387,0.999911103614973
ENSMUSG00000000278,387.9217268374905,0.16640910860400782,0.15137758681496422,1.099298199326016,0.27163801753458117,0.999911103614973
ENSMUSG00000000282,736.3060966879283,-0.03443860699759421,0.08111525105807506,-0.4245638957948566,0.6711546170679586,0.999911103614973
ENSMUSG00000000290,64.38241963379804,-0.1547651793970111,0.2518902568885892,-0.6144151080264433,0.53894105474996,0.999911103614973
ENSMUSG00000000295,228.09536040115879,0.086171298632958,0.15749329443142918,0.54714265101919,0.5842807322330926,0.999911103614973
ENSMUSG00000000296,118.48735527099394,0.02663832624571523,0.1364914673307237,0.19516477305624985,0.8452639557759654,0.999911103614973
ENSMUSG00000000301,69.1181053670845,0.07765470498334336,0.15031805771745807,0.5166026368522222,0.6054335746154301,0.999911103614973
ENSMUSG00000000303,3735.2587118916936,-0.05503745015777344,0.06756753113212598,-0.8145547015792186,0.4153272485586085,0.999911103614973
ENSMUSG00000000305,299.02432075576735,-0.04169734478332396,0.12338521862011033,-0.33794440897904915,0.7354050807348929,0.999911103614973
ENSMUSG00000000308,5335.174120592778,-0.005379319174780389,0.07975901828298945,-0.06744465128312217,0.9462277235042272,0.999911103614973
ENSMUSG00000000317,31.352998555274862,-0.2986652639864794,0.30695709989027287,-0.9729869877362096,0.3305597692956095,0.999911103614973
ENSMUSG00000000318,15.135891127646358,0.2693693296123764,0.370359382753171,0.7273187670039395,0.4670307042005226,0.999911103614973
ENSMUSG00000000320,36.60101667969314,0.1426016633944088,0.243441270019346,0.5857743980019345,0.5580271305556199,0.999911103614973
ENSMUSG00000000326,838.2309655406222,0.229804333794953,0.209583490757873,1.0964810871503265,0.27286829557132763,0.999911103614973
ENSMUSG00000000339,1429.7472235688608,-0.04670922971410047,0.10646022739954746,-0.43874816779039705,0.6608440210483131,0.999911103614973
ENSMUSG00000000340,487.786834933008,0.008615663950291758,0.08010711649241702,0.10755179224441716,0.9143512392936184,0.999911103614973
ENSMUSG00000000346,2673.358093747907,0.030084428654154748,0.054539633795499476,0.5516067226809519,0.5812178294979871,0.999911103614973
