,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001,1233.1041354774693,0.01992216231003842,0.08981969018878283,0.2218017259708429,0.8244682357944726,0.9995712939410292
ENSMUSG00000000028,55.8924760074601,-0.06121811839925583,0.2111652815692426,-0.28990617181159095,0.7718880198771504,0.9995712939410292
ENSMUSG00000000037,25.32309914675548,-0.5378494012656498,0.30373285216144963,-1.7707975855695555,0.07659436759506544,0.9995712939410292
ENSMUSG00000000049,18.904757800156656,-0.1338603038048616,0.3669130742917516,-0.3648283835708246,0.715239516260961,0.9995712939410292
ENSMUSG00000000056,838.0565883883546,-0.15049796991413572,0.08981524977335031,-1.6756393852259928,0.09380884932358835,0.9995712939410292
ENSMUSG00000000058,1086.5530569486057,-0.4076038938883152,0.15079046845450955,-2.703114447922025,0.00686930894767429,0.9995712939410292
ENSMUSG00000000078,1163.2433774525514,-0.17861166436426784,0.12862668077046105,-1.3886050957266538,0.16495286699011824,0.9995712939410292
ENSMUSG00000000085,556.7884331205694,0.0709897443936271,0.07713885166801059,0.9202852111300808,0.35742373526062643,0.9995712939410292
ENSMUSG00000000088,2801.090916650824,0.05226956803213468,0.09071903283222299,0.5761698113427061,0.5645004081862509,0.9995712939410292
ENSMUSG00000000093,667.4500978305261,-0.12645724087465318,0.12600325038933438,-1.0036030061440162,0.31557000502194177,0.9995712939410292
ENSMUSG00000000120,7615.29613961702,0.024667454438808457,0.11574835609095714,0.21311278424917177,0.8312389932999722,0.9995712939410292
ENSMUSG00000000125,26.015459680543717,0.3663653273533795,0.46313449726711337,0.7910560096802245,0.42891130798223265,0.9995712939410292
ENSMUSG00000000126,180.314790283476,-0.11169202025132337,0.13951632882227039,-0.80056593514303,0.4233829781389241,0.9995712939410292
ENSMUSG00000000127,292.925086465926,0.02480596273886712,0.1378270698388768,0.17997888780386825,0.8571691426330094,0.9995712939410292
ENSMUSG00000000131,1436.0848381598887,-0.008145534680046725,0.06338021156017688,-0.12851857826812205,0.8977385968081073,0.9995712939410292
ENSMUSG00000000134,860.1194802690993,-0.00918232639159433,0.08319564258911659,-0.11037028029152496,0.9121157219962662,0.9995712939410292
ENSMUSG00000000142,201.7154748354536,0.02931804280609325,0.15154003682053063,0.19346730686633465,0.846593007678526,0.9995712939410292
ENSMUSG00000000148,480.42033859914955,0.07944247136547353,0.07913775013825029,1.0038505166837686,0.3154506708043674,0.9995712939410292
ENSMUSG00000000149,2322.0356932854966,0.00281667583638811,0.05183215327321598,0.05434225009987408,0.9566624885524617,0.9995712939410292
ENSMUSG00000000154,189.3617849438879,0.010036621463568747,0.1726221582316066,0.05814213868246651,0.953635409330886,0.9995712939410292
ENSMUSG00000000167,15.060959341739816,-0.4540201260756435,0.45543498893596224,-0.9968933812845072,0.31881626470072255,0.9995712939410292
ENSMUSG00000000168,2255.989742812067,-0.06840879896963609,0.0566520351708122,-1.2075258861111686,0.22722968213390204,0.9995712939410292
ENSMUSG00000000171,1895.583440384896,0.02512085691939505,0.0648392846426644,0.3874326661350219,0.698435924377354,0.9995712939410292
ENSMUSG00000000184,202.9962162802083,0.19163064158218326,0.20087374920480947,0.9539854876049434,0.3400909884153245,0.9995712939410292
ENSMUSG00000000194,1162.9934816516416,-0.14058244308162166,0.06487523109893627,-2.166966355267854,0.030237419630791247,0.9995712939410292
ENSMUSG00000000197,754.5440988718105,0.028245598562745694,0.10847303339436672,0.2603928154203583,0.7945607843273974,0.9995712939410292
ENSMUSG00000000202,15.655011480041034,0.43903226078902946,0.8155826325098262,0.5383050635077616,0.5903664561843344,0.9995712939410292
ENSMUSG00000000204,9.947739495821624,0.031100338949942925,0.716303286902306,0.04341783643690663,0.9653684596871701,0.9995712939410292
ENSMUSG00000000214,251.39589726956726,0.5245364261398495,0.5808005289925798,0.9031266329073038,0.3664586904920224,0.9995712939410292
ENSMUSG00000000223,10806.520086385539,-0.09032268133244677,0.12564892951798476,-0.7188495889216345,0.47223359982982194,0.9995712939410292
ENSMUSG00000000247,5.686933517526398,1.4400449869996073,1.2300197486272633,1.1707494848003361,0.24169948808959874,0.9995712939410292
ENSMUSG00000000253,845.158675350864,0.01570040817156653,0.08347852609355919,0.18807720867004982,0.8508161271097592,0.9995712939410292
ENSMUSG00000000266,707.2341349511626,0.03822597313167287,0.07401772811269842,0.5164434805871171,0.6055447042201727,0.9995712939410292
ENSMUSG00000000275,327.74790679538006,-0.10380096516275424,0.14594067678032452,-0.7112545141818097,0.4769265326939991,0.9995712939410292
ENSMUSG00000000276,588.3283674094079,-0.3284596807953228,0.19720988883107543,-1.6655335223918324,0.09580636141571511,0.9995712939410292
ENSMUSG00000000278,399.1869113927141,-0.2608495659324986,0.1723689607135523,-1.5133209880286154,0.13019814401170407,0.9995712939410292
ENSMUSG00000000282,744.9543398211939,-0.07608063817684597,0.07081026518813079,-1.0744295050260397,0.2826302244210247,0.9995712939410292
ENSMUSG00000000290,93.45115179551665,0.13414216782486685,0.5722158856975271,0.2344258018306299,,
ENSMUSG00000000295,220.47576637290067,0.07751870819545309,0.12499944830777741,0.6201524026296835,0.535157454676066,0.9995712939410292
ENSMUSG00000000296,126.40319417397717,-0.044832997126598405,0.1892080999405297,-0.2369507285401097,0.8126950146934104,0.9995712939410292
ENSMUSG00000000301,70.710554026922,0.09622616924032203,0.21456388325624426,0.44847328348081456,0.6538116633255695,0.9995712939410292
ENSMUSG00000000303,3443.511149737302,-0.04635982800386081,0.03385127148924,-1.3695151161041852,0.17083831298470653,0.9995712939410292
ENSMUSG00000000305,323.2182997603551,0.082919908447395,0.09363517644852891,0.8855636481122661,0.37585270761580214,0.9995712939410292
