,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbol
ENSMUSG00000000001,3643.17663339118,-0.07898207441414594,0.20553520736150827,-0.3842751586360934,0.7007745177437235,0.9513453775251993,Gnai3
ENSMUSG00000000028,140.00809255154678,0.030108232564439865,0.23034303627123398,0.13071040936087497,0.896004397519176,0.9903235013574593,Cdc45
ENSMUSG00000000037,112.67299251800475,-0.25398940937406866,0.16062074528244813,-1.581298909598718,0.11380970882003212,0.6025143819688648,Scml2
ENSMUSG00000000056,465.9804857112422,0.20222243297872322,0.2113460375197361,0.9568309647624177,0.3386525804101659,0.8405230068007683,Narf
ENSMUSG00000000058,2925.7007935946253,0.09310353886359872,0.11228835928626363,0.8291468452775603,0.4070213186881637,0.8653442625736384,Cav2
ENSMUSG00000000078,2371.689157498132,0.06412310446865113,0.24878374644802445,0.2577463575661991,0.7966026663381629,0.9756513598734692,Klf6
ENSMUSG00000000085,636.0985604056754,0.1732953789563155,0.0899730628791919,1.9260806891613955,0.05409429944874742,0.45216470303923584,Scmh1
ENSMUSG00000000088,1188.84211296533,0.1067521119169927,0.07668513708050002,1.392083472510846,0.1638971224458421,0.6776746490277963,Cox5a
ENSMUSG00000000093,53.02173685555363,-0.389552161905666,0.423454810707752,-0.9199379769817188,0.35760517168353845,0.8455190498540901,Tbx2
ENSMUSG00000000120,1017.9818972888645,0.3377757685572003,0.19302411742920458,1.7499148451285433,0.080133008690507,0.5279861144476528,Ngfr
ENSMUSG00000000126,1171.9736795946046,0.010385920831624828,0.16110483191835945,0.06446684874658469,0.948598503050795,0.9929001865039492,Wnt9a
ENSMUSG00000000127,489.034909766304,-0.2673134459610861,0.09392595493380104,-2.846001897446648,0.004427193107786015,0.15109880899051664,Fer
ENSMUSG00000000131,1420.8717857802146,0.0864578988436789,0.0716722403541957,1.2062954697162283,0.22770358382975808,0.7647324405458971,Xpo6
ENSMUSG00000000134,539.9667917869972,0.1789473169741466,0.10791667374614759,1.6581989674281883,0.09727731314351286,0.5678135818313035,Tfe3
ENSMUSG00000000142,45.48288672095652,-0.07622688866427058,0.32801479038300096,-0.2323885717935631,0.8162362243794159,0.9820306252922417,Axin2
ENSMUSG00000000148,263.22514706140043,0.19581362353035706,0.10964042260309571,1.7859619552837096,0.07410541832152878,0.5127414853297686,Brat1
ENSMUSG00000000149,379.8646870870189,0.07043153587584669,0.08243113599174143,0.8544287911172673,0.3928674490542402,0.8594162901475324,Gna12
ENSMUSG00000000154,425.7492518146844,0.13508379090560382,0.1886178048590108,0.7161773036568688,0.47388187557885375,0.8946989534121682,Slc22a18
ENSMUSG00000000167,18.908124199972765,-0.08431540891334932,0.26733712723831965,-0.3153898217743087,0.752465693846928,0.9642310163704164,Pih1d2
ENSMUSG00000000168,739.551602639963,0.14358500405365363,0.07468937647272265,1.9224287420057975,0.05455183190080714,0.4536172810009249,Dlat
ENSMUSG00000000171,982.8009343997553,0.0008617194010553749,0.0541426647232516,0.01591571832417234,0.9873016301815186,0.9980376686243303,Sdhd
ENSMUSG00000000184,2369.831930853672,0.17179213919520203,0.2030339859758408,0.846125038473331,0.3974829941454934,0.8610604056097451,Ccnd2
ENSMUSG00000000194,1215.9788795202246,0.04547788469288727,0.09509435983736841,0.47823955879890384,0.6324797096453774,0.9408918277208572,Gpr107
ENSMUSG00000000197,3.0639339856252206,-0.8040705710226485,1.053990203449714,-0.7628823952925959,0.44553353619908875,,Nalcn
ENSMUSG00000000204,1043.5475612365337,-0.3518979404398893,0.9355809485303941,-0.37612773217822454,0.7068219382414697,0.9513453775251993,Slfn4
