,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbol
ENSMUSG00000000001,3939.269248637331,0.006014116649392443,0.06185487521900548,0.09722946862472291,0.9225441663287645,0.9738801118485467,Gnai3
ENSMUSG00000000028,192.4441736330579,-0.660200462851738,0.5281064165508816,-1.250127705630953,0.2112529004237219,0.6285411525149741,Cdc45
ENSMUSG00000000037,98.34656927629001,0.6702708085809846,0.30934990669780515,2.166707647452929,0.03025715311027784,0.47947021633143594,Scml2
ENSMUSG00000000056,468.602661092866,0.023952310705554848,0.2774920935568635,0.08631709249275081,0.931214351342154,0.9764366642356566,Narf
ENSMUSG00000000058,2964.8966521491884,-0.08965527388628715,0.14585243710326978,-0.6146984971036676,0.5387538525346127,0.8059037881098047,Cav2
ENSMUSG00000000078,2554.002817871464,-0.4486947345877414,0.1711364892106105,-2.6218530989937023,0.00874531175484182,0.41684585342574465,Klf6
ENSMUSG00000000085,656.3848143537374,-0.23346364359329275,0.10845506480895135,-2.1526301607449114,0.031347756213929726,0.47947021633143594,Scmh1
ENSMUSG00000000088,1296.1075256699262,-0.19138256634028858,0.1048165139983108,-1.8258818104117913,0.06786806665078145,0.5361519367951529,Cox5a
ENSMUSG00000000093,61.81206215764484,0.3657347535671619,0.338212421788857,1.0813758750572644,0.2795299485640055,0.6652609011160665,Tbx2
ENSMUSG00000000120,760.041465545183,0.11570673604829174,0.30729324270504943,0.3765352437617739,0.7065190192832351,0.8869613999989479,Ngfr
ENSMUSG00000000126,1123.664997047057,-0.3987224965877913,0.18499989012390639,-2.1552580183736385,0.031141649033370526,0.47947021633143594,Wnt9a
ENSMUSG00000000127,489.75378574991714,-0.12454434336396464,0.07685643986782902,-1.620480256152186,0.10512915217725227,0.5622256056756311,Fer
ENSMUSG00000000131,1374.4907954521973,0.06804456084739655,0.1369753327305061,0.4967650706954054,0.6193547294942378,0.845759879067478,Xpo6
ENSMUSG00000000134,581.9057822179273,-0.2003386040384892,0.20006193515928783,-1.0013829161403496,0.3166417201805257,0.6825976796709509,Tfe3
ENSMUSG00000000142,87.50115305727367,0.12998475044920868,0.45746278874641033,0.28414278417137956,0.7763009605464688,0.9145357204526976,Axin2
ENSMUSG00000000148,243.90732130646933,-0.21197361417532581,0.12863577795343412,-1.6478589203390974,0.09938162487201073,0.560506001790339,Brat1
ENSMUSG00000000149,352.2606993857929,-0.028344515593780054,0.10690728737279856,-0.26513174443328,0.7909079736060427,0.9212394851859872,Gna12
ENSMUSG00000000154,347.5519237444702,0.13070138066841125,0.2214786067374886,0.5901309503148868,0.5551028603504955,0.8103432754202354,Slc22a18
ENSMUSG00000000167,19.071849480563294,-0.5029988433309448,0.3536531401851215,-1.422294293973037,0.15494083467449682,0.5944423018908106,Pih1d2
ENSMUSG00000000168,785.0007706418057,-0.15499262837019562,0.14270461647013613,-1.08610801951618,0.27743120475458827,0.6636020644838965,Dlat
ENSMUSG00000000171,1068.2509477984563,-0.15542584015646402,0.09269924309019291,-1.6766678451218902,0.09360745174208301,0.5574121856943505,Sdhd
ENSMUSG00000000184,2159.403828381278,0.20798135863103978,0.20527775981786592,1.0131704419201215,0.31097875627803717,0.678812646646602,Ccnd2
ENSMUSG00000000194,1206.0263796272634,0.06668875661787235,0.0810826116699318,0.8224791387991615,0.41080425478681115,0.7370904140773489,Gpr107
ENSMUSG00000000197,12.246797567377293,0.12214654225464103,0.601371972837376,0.2031131276010964,0.8390466112507664,0.9404456091477753,Nalcn
ENSMUSG00000000204,1043.5728745873264,-1.208583730117182,0.9106348044029354,-1.32718815959335,0.18444644814700561,0.6136180057212725,Slfn4
ENSMUSG00000000216,14.873283907467139,0.16881372316672888,0.4704702490631863,0.3588191251261383,0.7197304043691806,0.8906470709465819,Scnn1g
ENSMUSG00000000223,11.833639155560318,-0.512330305534277,0.5807208981500792,-0.8822315628150038,0.3776515968478099,0.7175131999648462,Drp2
ENSMUSG00000000248,179.81088170097897,0.2847042626803813,0.5888022859670415,0.4835311775544257,0.628718628014673,0.8518978547203995,Clec2g
ENSMUSG00000000253,580.0607083472773,0.4100975119921327,0.3535991967075487,1.1597806663891042,0.24613811755844905,0.64804976878199,Gmpr
ENSMUSG00000000266,1113.8486645971425,0.2671990099369472,0.18282313622545807,1.4615163893011687,0.1438737811427206,0.5893545904272636,Mid2
ENSMUSG00000000275,3711.078462189951,0.17841105458263792,0.184217238774378,0.9684818628790149,0.3328037727841495,0.6887411704794143,Trim25
ENSMUSG00000000276,209.1603619284455,0.439586842672376,0.26444860323593267,1.6622770447389754,0.09645723826201728,0.5599337184890307,Dgke
ENSMUSG00000000278,495.7977316347973,0.16964453998701357,0.3248930149466378,0.5221550854667556,0.601562355281189,0.8350700473054611,Scpep1
ENSMUSG00000000282,421.96613060173524,-0.15715377787895557,0.11412261914369444,-1.3770607357081384,0.16849347081332655,0.6046901151840752,Mnt
ENSMUSG00000000290,17.790137069454214,-2.3544853202036804,1.0003714452558543,-2.3536110825329475,0.018592051916987953,0.4569445473878296,Itgb2
ENSMUSG00000000295,167.9617880185138,-0.4643700621453875,0.2563632876420504,-1.8113750467803662,0.07008281591281332,0.5362849625359851,Hddc2
ENSMUSG00000000296,124.82444363332618,-0.5519308247170702,0.2979891852043566,-1.8521840795616935,0.0639993941103679,0.5320664354474393,Tpd52l1
ENSMUSG00000000301,13.80045607353444,-0.2817279368662369,0.41029006762235487,-0.6866555130102467,0.49229983726308746,0.7841579157349592,Pemt
ENSMUSG00000000303,9269.66715980303,-0.23413611511564483,0.14879837984947228,-1.5735125298575299,0.11560018932932373,0.5709948924841357,Cdh1
ENSMUSG00000000305,65.79465700270484,1.2128373839759536,0.6238374328710817,1.9441561536218215,0.051876623400383855,0.5136890220474036,Cdh4
ENSMUSG00000000308,3993.739826207671,-0.114479350596047,0.13924703777257338,-0.8221313173140641,0.411002163340901,0.7370904140773489,Ckmt1
ENSMUSG00000000317,5.9545155802102645,0.01717794376860647,0.7877040333374212,0.021807611795289766,0.9826014222973544,0.9936701572621932,Bcl6b
ENSMUSG00000000320,962.9350717444868,0.4188352713926656,0.392936039491731,1.0659120805880662,0.2864633874661059,0.6692153196475489,Alox12
ENSMUSG00000000326,587.3247077796351,-0.3162386147658917,0.13240681397022025,-2.3883862565941456,0.01692254571780266,0.4519320087893695,Comt
ENSMUSG00000000339,353.5972652013794,-0.17336464890142975,0.16165364917982783,-1.0724450068465468,0.28352020198730754,0.6675850906331271,Rtca
ENSMUSG00000000340,301.8140785332305,0.152807467144575,0.12538213368221612,1.2187339827209274,0.22294517542042425,0.6350622361837188,Dbt
ENSMUSG00000000346,5527.944810264214,0.0673592127912872,0.08153119631564196,0.8261771669645449,0.4087035986075369,0.7363627991240543,Dazap2
ENSMUSG00000000355,293.8633773524722,-0.15564882376269776,0.12542932735154974,-1.240928473820558,0.21463217296534176,0.6304796176607053,Mcts1
ENSMUSG00000000365,12.548770410033008,0.42201992520916554,0.6005861429561812,0.7026800903729078,0.4822551379629779,0.7785511653670635,Rnf17
ENSMUSG00000000374,1133.0544809773105,0.13904015759138746,0.13710037172224798,1.014148655067612,0.3105118243900796,0.6787195928228323,Trappc10
ENSMUSG00000000378,343.89119857637996,-0.4054534374116794,0.27134521077138124,-1.4942347287392865,0.13511427843695437,0.5863025207731403,Ccm2
ENSMUSG00000000384,285.7861391275848,-0.5743995588530575,0.30312272458344547,-1.8949406041477213,0.05810027103127613,0.5217697625155634,Tbrg4
ENSMUSG00000000385,1083.4439163908771,0.16190287947366916,0.1749625638433268,0.9253572645325878,0.35478010065266863,0.7034646587706213,Tmprss2
ENSMUSG00000000392,15.579734574801899,-0.6625681817218295,0.3442100297198057,-1.9248950481227236,0.05424248954859821,0.5188016173731398,Fap
ENSMUSG00000000399,1411.09255492445,-0.05962048986789318,0.08791604059251053,-0.6781525813273737,0.49767495459950783,0.7866911833713066,Ndufa9
ENSMUSG00000000402,66.8886931952291,1.1400455289960396,0.6554824282984869,1.7392465148995533,0.08199141077602748,0.5447938989858909,Egfl6
ENSMUSG00000000416,12.565439216389812,-1.0983335620366985,0.7039230289376023,-1.56030349467947,0.11868817794525545,0.5745710262670093,Cttnbp2
ENSMUSG00000000420,1709.9802875080343,-0.1787636744916027,0.11641601658900678,-1.535559107151957,0.12464655002668618,0.5790702877565591,Galnt1
ENSMUSG00000000439,398.1606645040175,0.21762560562118766,0.15676895243358674,1.388193275791532,0.16507819930234258,0.6027634504189915,Mkrn2
ENSMUSG00000000441,1481.2658119369219,0.08999796135613501,0.09397956870483488,0.9576332664261841,0.33824771825156086,0.6929144863749485,Raf1
ENSMUSG00000000486,19.498160168974657,0.2851880324324883,0.3400518837356668,0.8386603517661266,0.4016599332584665,0.7321374906683604,Septin1
ENSMUSG00000000489,66.79244045384775,-0.8955358398468125,0.4570052290037219,-1.9595746022405338,0.050045532322563854,0.5104039059927091,Pdgfb
ENSMUSG00000000530,35.2977573169696,-0.9296604818355858,0.45956667267190654,-2.0229066577664745,0.04308277201121742,0.4972761700148475,Acvrl1
ENSMUSG00000000531,20.67915335944382,-1.5724748035951333,0.6577690504653315,-2.3906184130778168,0.016820024236404295,0.4519320087893695,Tamalin
ENSMUSG00000000532,1962.2893569922603,0.10422101348555128,0.20029457713213192,0.5203386680648769,0.6028275493121568,0.8357945050214685,Acvr1b
ENSMUSG00000000538,1270.8903959240654,0.22052482613104046,0.14703723623344625,1.4997889771331143,0.13366907353817645,0.5846084926987922,Tom1l2
ENSMUSG00000000544,31.66868336457521,-0.313099618060517,0.35012262787552817,-0.8942570206340015,0.3711843900297783,0.712026012890503,Gpa33
ENSMUSG00000000552,177.61378704247207,-0.1308074103479275,0.20714345146124613,-0.631482238155136,0.527725259278826,0.8002954149835252,Zfp385a
ENSMUSG00000000555,74.26400672664694,-2.2730841773463992,0.7921453071253352,-2.869529310973683,0.0041108322988664655,0.35358866073700834,Itga5
ENSMUSG00000000561,920.1947182151923,-0.3231258044752195,0.21509220220204586,-1.5022664753401556,0.1330283030161448,0.5846084926987922,Wdr77
ENSMUSG00000000563,3378.944666309296,-0.15912148645466392,0.07235649446706993,-2.1991320561705967,0.027868533757307606,0.47380088665944176,Atp5pb
ENSMUSG00000000567,480.9279043490637,-0.4710083530798226,0.3294017267672478,-1.4298903582027445,0.15274848973412913,0.593958320456082,Sox9
ENSMUSG00000000568,2609.0903168602067,-0.15980802374049227,0.14895623623968435,-1.0728521864861462,0.28333744166039754,0.6675850906331271,Hnrnpd
ENSMUSG00000000579,266.67040201336346,0.09523104988998908,0.20519053250020977,0.4641103501687716,0.6425686866869518,0.8588734312566239,Dynlt1c
ENSMUSG00000000581,692.0157013502119,-0.11259519808853442,0.06631918226227923,-1.697777238013019,0.08954981352735723,0.5560495324089421,C1d
ENSMUSG00000000594,1046.3799469269095,0.599006473756695,0.29537043525622453,2.0279838543660467,0.04256189587311944,0.49614237074597967,Gm2a
ENSMUSG00000000600,722.432951169972,0.06817227192558813,0.15379213244841367,0.44327541884143573,0.6575665333547418,0.8657232693412036,Krit1
ENSMUSG00000000605,745.5000498831185,0.07968633152841567,0.09680537664888299,0.8231601826977154,0.4104169084151207,0.7370904140773489,Clcn4
ENSMUSG00000000617,3.030186256760152,2.170445913165083,1.4381546635143476,1.5091881062786887,0.131250718789536,0.5837295907681435,Grm6
ENSMUSG00000000628,568.1373162719077,0.0661743330857549,0.24513962174066037,0.2699454809298942,0.7872021968138014,0.9194262209930235,Hk2
ENSMUSG00000000631,4034.8567796640104,-0.04038765513187705,0.1078328790977122,-0.37453933781439697,0.7080030953963917,0.8874818937883494,Myo18a
ENSMUSG00000000673,4.801751478957019,-0.3452982589911475,0.6668274509096419,-0.5178225019382667,0.6045821169958561,0.8370157051065844,Haao
ENSMUSG00000000682,13.338303713201983,-2.049982279299686,0.9790507396868456,-2.0938468214174306,0.036273627738113635,0.4920932387940633,Cd52
ENSMUSG00000000693,22.958788821633142,-0.25344274802287386,0.5495421885723191,-0.4611888828431979,0.6446630969844589,0.860124509800386,Loxl3
ENSMUSG00000000708,764.8593382221067,0.0431482866636011,0.17354415694663658,0.24863001683697622,0.8036469873726579,0.9263883594016198,Kat2b
ENSMUSG00000000711,2371.2682145088115,0.16104169372868812,0.1399085598764155,1.1510496131969337,0.24971182530702052,0.6491623717055688,Rab5b
ENSMUSG00000000724,146.642874872567,-1.5169256137429399,1.2412619845703472,-1.2220833575822525,0.22167610594565212,0.6345644339868992,Cryba1
ENSMUSG00000000730,11.069865208081017,0.08782034115191605,0.4204406354856728,0.20887691088771715,0.8345443290335769,0.9389100134422859,Dnmt3l
ENSMUSG00000000732,849.3337220215795,0.1390176440846401,0.2627559971778473,0.5290750566220018,0.5967533839384641,0.8332809075319979,Icosl
ENSMUSG00000000738,790.8540852329412,0.04785831927832715,0.1118986775007012,0.4276933413983132,0.6688743983233835,0.8714273850363399,Spg7
ENSMUSG00000000739,41.78598258638852,0.015000486133905899,0.48656068301628314,0.030829630624724966,0.9754054098251136,0.9913692016774452,Sult5a1
ENSMUSG00000000740,20526.477369547887,-0.006196713450508464,0.09939358741220672,-0.06234520366801283,0.950287931146403,0.9833528788621453,Rpl13
ENSMUSG00000000743,2633.1374661067184,0.16786701588547617,0.14212447404153114,1.1811267342767624,0.23755238099316045,0.6423435424330088,Chmp1a
ENSMUSG00000000751,1434.6294264378644,-0.039183674070120515,0.21704301621178096,-0.18053413905696383,0.8567332555834275,0.9471643898409915,Rpa1
ENSMUSG00000000753,461.46075900679296,-0.4674706330192609,0.5319404728620951,-0.8788025293583029,0.3795083546199952,0.7182850079894012,Serpinf1
ENSMUSG00000000759,518.9569670123266,-0.09644819371275931,0.12673175200823614,-0.7610420607654131,0.4466319451594031,0.7576215840962913,Tubgcp3
ENSMUSG00000000776,335.8506004466166,-0.30870346596687,0.2760038727324349,-1.1184751246810762,0.2633641248060853,0.6555196709109958,Polr3d
ENSMUSG00000000782,28.494328285295214,-0.7454099641339208,0.5204193994314266,-1.4323254762376327,0.15205069535082583,0.593536414222966,Tcf7
ENSMUSG00000000787,6946.164303144174,0.11289078609693586,0.06906474626953858,1.6345645527510901,0.10214036360034272,0.5614967411643027,Ddx3x
ENSMUSG00000000792,5.186232300666078,-1.2695135424832948,0.8904872132119457,-1.42563927212859,0.15397249408997263,0.5944423018908106,Slc5a5
ENSMUSG00000000804,1571.0186797059787,0.06888322215930122,0.1575153948295487,0.43731104654145997,0.6618857852142161,0.8681661222801028,Usp32
ENSMUSG00000000811,371.3932304495035,-0.36553711963763086,0.3130617551961246,-1.1676198499833743,0.24296013968908958,0.6457083247636174,Txnrd3
ENSMUSG00000000823,800.815288077625,0.1509786332696374,0.08026747616469963,1.8809440695487498,0.05997952752273732,0.526792158400154,Zfp512b
ENSMUSG00000000826,2441.087038454797,0.09925459900189584,0.06032966070523152,1.6452039981933615,0.09992774929805515,0.560506001790339,Dnajc5
ENSMUSG00000000827,1171.870481365756,-0.12763286508112484,0.09464393054351601,-1.3485583739830096,0.17747885854641143,0.6093525066843632,Tpd52l2
ENSMUSG00000000838,957.5939106418253,-0.010501079245577832,0.11993276586702052,-0.0875580511269227,0.9302279444243885,0.9758642243910959,Fmr1
ENSMUSG00000000861,130.03688332157833,-0.426611927229458,0.26905914078892096,-1.5855693509559612,0.11283703340611557,0.5684609317260028,Bcl11a
ENSMUSG00000000876,322.8935771088181,0.4524099040039107,0.2816796666234412,1.606114880165303,0.10824867101853368,0.5639524998569099,Pxmp4
ENSMUSG00000000881,1491.542991374876,0.15416329801690223,0.10137793107367879,1.5206790707226057,0.12834039335116157,0.5828725786885852,Dlg3
ENSMUSG00000000884,123.64859881915018,0.09188448305941366,0.1508088598986302,0.6092777514608626,0.5423403515709395,0.8061667483515208,Gnb1l
ENSMUSG00000000901,16.70195965058867,-0.8150225165948216,0.44753805276560477,-1.8211245089849029,0.06858793245570992,0.5362849625359851,Mmp11
ENSMUSG00000000902,997.1293811673728,-0.0564630953843537,0.10089650646331712,-0.559613978357932,0.5757427682635472,0.8211002709529941,Smarcb1
ENSMUSG00000000915,1928.6267153943945,0.1609551648046957,0.1733070279046243,0.9287284350249999,0.3530298406159579,0.7021567864727476,Hip1r
ENSMUSG00000000916,150.7409533612436,-0.2183246680098587,0.21979077424728669,-0.9933295369541832,0.3205493878411928,0.6839980283924268,Nsun5
