,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbol
ENSMUSG00000000001,3760.2183510745144,-0.12363269169060209,0.2427473657177426,-0.5093060076061031,0.6105377476067584,0.8981910502686753,Gnai3
ENSMUSG00000000028,157.79894535403685,-0.37354170147923493,0.7415708576068419,-0.5037168028483601,0.6144603989698758,0.8991616096384477,Cdc45
ENSMUSG00000000037,104.47178412288237,0.4682897363248042,0.47391775318835894,0.9881244861039888,0.3230916850681175,0.8031278280402189,Scml2
ENSMUSG00000000056,476.09588186386037,0.17872205477407857,0.429988587207186,0.4156437172783914,0.6776707316310588,0.91660864910858,Narf
ENSMUSG00000000058,2826.2159745484605,-0.06631164944364433,0.2778387205660629,-0.23866957531528485,0.8113618104058479,0.9584650212202988,Cav2
ENSMUSG00000000078,2413.8487512498714,-0.9016939001436662,0.32677829872711694,-2.7593444964246068,0.005791744414205007,0.534002231201678,Klf6
ENSMUSG00000000085,641.7110670030778,0.01386180876686015,0.17255536558699766,0.08033252816975667,0.9359727880660658,0.9841463441444628,Scmh1
ENSMUSG00000000088,1258.710978502559,-0.04294115076373804,0.15778271133676752,-0.27215371316623854,0.7855038304620765,0.9508170015323001,Cox5a
ENSMUSG00000000093,63.86863381650979,0.18041981843944788,0.7397965233803518,0.24387762410001024,0.8073255994076638,0.9569687109139208,Tbx2
ENSMUSG00000000120,896.5076571346959,0.5538047889333714,0.4125546222571139,1.342379309443846,0.17947303991654506,0.7455066424140631,Ngfr
ENSMUSG00000000126,1102.756737193455,-0.13180872467573496,0.4081356519077728,-0.3229532241538165,0.7467306670950545,0.938681958882423,Wnt9a
ENSMUSG00000000127,486.84862949029787,-0.03620441635581226,0.15968482961744568,-0.22672420694280465,0.8206382028093686,0.9610030574907058,Fer
ENSMUSG00000000131,1373.9241078137832,0.3729738436704259,0.18119839108923597,2.0583728223433564,0.03955435855407855,0.6510542064857087,Xpo6
ENSMUSG00000000134,541.1452053122301,-0.1362732396552792,0.27570867431557616,-0.4942653327595376,0.6211188048830203,0.9004035509728203,Tfe3
ENSMUSG00000000142,70.11458415964226,0.18788521123573274,0.7053998423924092,0.2663527831229844,0.7899675256838402,0.9519824893828444,Axin2
ENSMUSG00000000148,250.70605780473932,0.23397161531557173,0.20929859351989993,1.117884317236589,0.2636164038666684,0.7834353797387211,Brat1
ENSMUSG00000000149,357.78147466152546,0.01295769355725226,0.17485846409363226,0.0741038966824834,0.9409277146843442,0.9852066659636075,Gna12
ENSMUSG00000000154,380.34913670569733,0.23470122832308168,0.3473856922552465,0.6756214592471808,0.4992810133520049,0.8659107826378499,Slc22a18
ENSMUSG00000000167,18.14002049773646,0.018700261278911733,0.6014324907962131,0.03109286838520344,0.9751954771255658,0.9914584862012736,Pih1d2
ENSMUSG00000000168,743.32524936873,-0.1863324875658591,0.17872270231474813,-1.042578727562598,0.29714344570065077,0.7932424624204005,Dlat
ENSMUSG00000000171,1010.1931225373373,-0.1779336564042607,0.1191289233203809,-1.4936226354177022,0.13527427974174672,0.7288772141544476,Sdhd
ENSMUSG00000000184,2241.293740357147,0.21184731869936121,0.4718706606091556,0.4489520887479623,0.6534662191422763,0.9090195743448795,Ccnd2
ENSMUSG00000000194,1214.3186501833052,0.10294963054176251,0.13635735434703258,0.7549987386800813,0.45024973902864185,0.8535655484328671,Gpr107
ENSMUSG00000000197,8.227900170612221,0.8178338956166454,1.385778682521568,0.5901619832457746,0.5550820568524347,0.8807045679144144,Nalcn
ENSMUSG00000000204,769.8030764081215,0.510098125354628,1.6706126917258017,0.3053359572096143,0.7601102927609938,0.9415041500960458,Slfn4
ENSMUSG00000000216,18.092562586101838,0.3385740877878833,0.8546740896647532,0.396144088000479,0.6919987355507923,0.9208119235782889,Scnn1g
ENSMUSG00000000223,8.856307395829544,-1.7681874174004113,0.9719721800664916,-1.8191749246150766,0.06888474714522184,0.6761162628967703,Drp2
ENSMUSG00000000248,274.8317244248094,3.251284994494251,1.037140757943804,3.134854135845674,0.0017193958200519457,0.42931941995837486,Clec2g
ENSMUSG00000000253,718.1454320166598,0.4241026547987719,0.4659693541919723,0.9101513886770504,0.3627426765153895,0.8216399540423767,Gmpr
ENSMUSG00000000266,1131.9494893272354,0.14356055831975048,0.2528330923302313,0.5678076275404749,0.5701655999967268,0.8846793462573983,Mid2
ENSMUSG00000000275,3624.2244083836567,-0.05090091549844308,0.32203187265880967,-0.15806173183476224,0.8744081550532108,0.9737337133921795,Trim25
ENSMUSG00000000276,182.2728511648942,0.4953505258856397,0.4067284683978217,1.217889979122722,0.2232657847621995,0.7699010703727718,Dgke
ENSMUSG00000000278,471.24223413205175,0.7915654742824277,0.6762866649301786,1.1704584983413073,0.2418165061785964,0.7755911945665077,Scpep1
ENSMUSG00000000282,436.4799519915695,-0.05420691523953309,0.2459655513113961,-0.22038417555028395,0.825571968547844,0.9630526776896646,Mnt
ENSMUSG00000000290,10.600798592695636,-0.20591731581220662,1.6052949015057871,-0.12827382409241664,0.897932279303187,0.9790043685486479,Itgb2
ENSMUSG00000000295,155.54493068558608,-0.6877171301008128,0.4332693025019627,-1.5872740721059913,0.11245058485838323,0.7170366379395052,Hddc2
ENSMUSG00000000296,107.80629866711577,-1.122071226734984,0.3994159123307306,-2.8092802316945975,0.0049652406138234306,0.529439761947108,Tpd52l1
ENSMUSG00000000301,13.05037761629794,0.18301298654047102,0.7075757145982067,0.25864791960022826,0.795906906467876,0.9532200385837554,Pemt
ENSMUSG00000000303,8375.126790164724,-0.48226187620471617,0.2056429364153663,-2.3451419465759002,0.0190198369975073,0.6510542064857087,Cdh1
ENSMUSG00000000305,90.9433244819358,1.6355568839350032,0.9336075872210465,1.751867600822913,0.07979657678459254,0.6984405920705848,Cdh4
ENSMUSG00000000308,3766.205515379779,-0.3649095851274685,0.2638286156623301,-1.3831311823828476,0.16662464598747562,0.7421677849746536,Ckmt1
ENSMUSG00000000317,5.769935286826918,0.043181220060793196,1.1950666016834515,0.03613289836730874,0.9711763903439555,0.9904699613699827,Bcl6b
ENSMUSG00000000320,984.8559851011546,0.37865005019173004,0.580023018740033,0.6528190053806148,0.5138729696483452,0.8691490885221295,Alox12
ENSMUSG00000000326,581.5555358059133,-0.24918600674931554,0.18161607963804466,-1.372048153698371,0.17004844783941597,0.7440055329961318,Comt
