,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbol
ENSMUSG00000000001,3760.2183510745144,-0.04747652784603802,0.242734736100649,-0.1955901681346178,0.8449309563402694,0.9489038715665974,Gnai3
ENSMUSG00000000028,157.79894535403685,-0.919071104376761,0.7395735813229849,-1.242704076493217,0.21397690119500878,0.610639325400905,Cdc45
ENSMUSG00000000037,104.47178412288237,0.8321966765975692,0.4720607490860252,1.762901656638085,0.0779170776036653,0.4393364950017479,Scml2
ENSMUSG00000000056,476.09588186386037,-0.49927446257419666,0.4295252865676865,-1.1623866584523397,0.24507844013594804,0.636062148628687,Narf
ENSMUSG00000000058,2826.2159745484605,0.12443364230360283,0.2778955719011623,0.44777123094231785,0.6543183080892335,0.8657673223275638,Cav2
ENSMUSG00000000078,2413.8487512498714,-0.6183502921080014,0.326868011123859,-1.891743061616672,0.05852522290963518,0.3955952809596597,Klf6
ENSMUSG00000000085,641.7110670030778,-0.36502091423569666,0.17248381914275276,-2.116261780669377,0.034322549366665546,0.3291006867213565,Scmh1
ENSMUSG00000000088,1258.710978502559,-0.3442028969295436,0.15766405881356604,-2.1831411643192267,0.029025415952260006,0.3110849371438631,Cox5a
ENSMUSG00000000093,63.86863381650979,1.0702284597840561,0.7385561351197356,1.4490820790630212,0.14731466207911306,0.5464791461077462,Tbx2
ENSMUSG00000000120,896.5076571346959,0.017426722458468002,0.4128484246839558,0.04221094575281116,0.9663305368896049,0.9903491694676946,Ngfr
ENSMUSG00000000126,1102.756737193455,0.39744667444886966,0.40831360138178296,0.9733858316349534,0.3303615779686059,0.6975042155161922,Wnt9a
ENSMUSG00000000127,486.84862949029787,0.3079870982737496,0.15903035360841766,1.936656061471824,0.05278740012900226,0.38285644505404515,Fer
ENSMUSG00000000131,1373.9241078137832,0.21517372508890414,0.1813897166049004,1.186250957972394,0.23552320766315826,0.6250300598156384,Xpo6
ENSMUSG00000000134,541.1452053122301,-0.4791244871194594,0.2760178700844766,-1.7358458964009142,0.08259108636099301,0.44609031947904176,Tfe3
ENSMUSG00000000142,70.11458415964226,-0.44193781473898486,0.7070097114897117,-0.6250802606484647,0.5319183825943734,0.8063322257493272,Axin2
ENSMUSG00000000148,250.70605780473932,-0.3047203122109736,0.2102837270281973,-1.4490912659642614,0.14731209681550017,0.5464791461077462,Brat1
ENSMUSG00000000149,357.78147466152546,-0.06653501184852492,0.17514340718046328,-0.3798887604143098,0.7040279909043079,0.8902530291272204,Gna12
ENSMUSG00000000154,380.34913670569733,0.284193087075831,0.34794204272209844,0.8167828321420076,0.41405254489518983,0.7475902068209026,Slc22a18
ENSMUSG00000000167,18.14002049773646,-0.3903356286189066,0.5984527632123264,-0.6522413340088773,0.5142454990532935,0.797376135566087,Pih1d2
ENSMUSG00000000168,743.32524936873,-0.3847955755489443,0.17860152497998547,-2.1544921052161534,0.03120160043506884,0.31662685392620077,Dlat
ENSMUSG00000000171,1010.1931225373373,-0.23422557801129637,0.11888868258231518,-1.970125102943463,0.04882403458179535,0.37284265274556744,Sdhd
ENSMUSG00000000184,2241.293740357147,-0.36209424197703777,0.4719030733376968,-0.7673063864916193,0.4428993721819984,0.7641332790107304,Ccnd2
