;Name;Term;ES;NES;NOM p-val;FDR q-val;FWER p-val;Tag %;Gene %;Lead_genes
0;prerank;CHEMICAL CARCINOGENESIS - DNA ADDUCTS;0.7277102312575539;2.478303242939028;0.0;0.0;0.0;21/28;22.47%;"GSTM1;GSTP1;GSTM5;GSTM2;SLC38A3;GSTA4;GSTA1;CYP2E1;HPGDS;MGST1;GSTA3;HSD11B1;PTGS2;GSTM4;GSTT2;EPHX1;GSTT1;GSTK1;CBR1;GSTO1;CYP1B1"
1;prerank;METABOLISM OF XENOBIOTICS BY CYTOCHROME P450;0.6835270952167077;2.3699177110917757;0.0;0.0;0.0;23/31;22.47%;"GSTM1;GSTP1;GSTM5;GSTM2;GSTA4;GSTA1;CYP2S1;CYP2E1;HPGDS;MGST1;GSTA3;HSD11B1;GSTM4;CBR3;GSTT2;EPHX1;ALDH3A1;ADH7;GSTT1;GSTK1;CBR1;GSTO1;CYP1B1"
2;prerank;RIBOSOME;0.4791932039903667;2.252708227439135;0.0;0.0;0.0;80/149;27.72%;"MRPL44;RPS29;RPS13;RPSA;RPLP2;RPS4X;RPS28;MRPL34;RPS27;RPL10A;RPS21;MRPS15;RPL32;RPL39;RPS18;RACK1;RPL18;RPS11;RPS16;RPL38;RPL8;RPS9;RPL3;RPL35;MRPS34;MRPL36;RPL19;MRPL4;MRPS6;RPS12;MRPL49;FAU;MRPL38;RPS19;RPS7;RPL35A;RPS2;RPS26;MRPL51;RPS25;RPS5;RPS15;MRPL9;RPS27A;RPL21;RPS6;RPL18A;UBA52;RPS14;RPL36;RPL15;RPLP1;RPL31;RPS24;RPS10;MRPL37;DLGAP3;RPL9;MRPS26;RPS3;RPS15A;RPL30;RPL27A;RPL37;MRPL16;RPL13A;MRPL20;RPL28;MRPL48;RPL7;RPS8;MRPS18A;MRPL43;RPL37A;RPL29;RPL11;MRPL35;MRPS7;MRPS14;RPL5"
3;prerank;ARACHIDONIC ACID METABOLISM;0.6123807922113522;2.2476461226527378;0.0;0.0;0.0;19/37;18.97%;"ALOX5;PLA2G4A;PLA2G12A;PTGIS;ALOX12;TBXAS1;CYP2E1;HPGDS;PTGS1;GPX4;PTGS2;LTA4H;CBR3;PTGDS;ALOXE3;PLA2G6;PLA2G5;CBR1;GGT5"
4;prerank;DRUG METABOLISM - CYTOCHROME P450;0.6433018437758005;2.2379883838746397;0.0;0.0;0.0;18/30;18.85%;"GSTM1;GSTP1;GSTM5;GSTM2;GSTA4;GSTA1;CYP2E1;HPGDS;MGST1;GSTA3;GSTM4;GSTT2;ALDH3A1;ADH7;GSTT1;GSTK1;FMO1;MAOB"
5;prerank;DRUG METABOLISM - OTHER ENZYMES;0.5479304462949315;2.1737994753509944;0.0;0.0;0.0;26/51;24.82%;"GSTM1;GSTP1;GSTM5;GSTM2;SLC38A3;MPO;GSTA4;GSTA1;DPYS;CYP2E1;MGST1;GMPS;GSTA3;GSTM4;GSTT2;SCO2;NME2;NME7;GUSB;GSTT1;TPMT;GSTO1;NME6;IMPDH2;NME3;XDH"
6;prerank;RHEUMATOID ARTHRITIS;0.5352231524991397;2.080196525412536;0.0;0.002115924992552395;0.011;30/50;25.97%;"IL18;CCL5;ATP6V0C;TGFB2;TGFB3;ACP5;ITGAL;ITGB2;TEK;TNFSF13;TLR2;FLT1;CTSK;TGFB1;ICAM1;ATP6V1C2;CSF1;CXCL12;ATP6V1F;ATP6V0B;ATP6V0D1;CD86;ATP6V1G2;ATP6AP1;TNFSF13B;LTB;PTRH2;IL1B;IL15;TCIRG1"
7;prerank;STAPHYLOCOCCUS AUREUS INFECTION;0.5670698471001303;2.038284026891897;0.0;0.002622865355351406;0.016;16/33;17.26%;"SELPLG;ITGAL;ITGAM;C3;ITGB2;KRT18;C1QA;C1QB;C1QC;ICAM1;KRT9;MASP2;CFH;C4B;C3AR1;SELENOP"
8;prerank;MALARIA;0.5345007212349296;1.8899219066175035;0.0;0.013302898795769225;0.086;17/31;17.53%;"IL18;CD81;TGFB2;TGFB3;VCAM1;ITGAL;ITGB2;TLR2;TGFB1;ICAM1;TLR9;SDC2;THBS2;PECAM1;MYD88;SELENOP;THBS3"
9;prerank;NUCLEOCYTOPLASMIC TRANSPORT;-0.4301931836636491;-1.8878492671373728;0.0;0.07639065048015944;0.093;48/94;27.23%;"TPR;RANBP2;KPNB1;SEH1L;ACIN1;RAN;KPNA2;SUMO1;DDX19B;PNN;TNPO2;NCBP1;NUP188;NUP107;NUP155;THOC2;NUP88;XPO4;AHCTF1;KPNA1;KPNA4;XPO7;TNPO3;SENP2;NUP205;IPO11;XPOT;NUP62;RANGAP1;KPNA3;NUP93;XPO6;UPF3A;KPNA6;IPO9;ALYREF;IPO7;MAGOHB;NUP210;NMD3;NUP98;UBE2I;NUP153;NUP35;XPO5;NUP214;SRRM1;NUP50"
