;Name;Term;ES;NES;NOM p-val;FDR q-val;FWER p-val;Tag %;Gene %;Lead_genes
0;prerank;CORONAVIRUS DISEASE - COVID-19;-0.541130016782234;-2.4625852255871177;0.0;0.0031078354142161893;0.003;89/174;18.75%;"TNFRSF1A;C1QB;C3;RPL9;CYBB;TLR7;RPL29;C1QA;C1QC;IRAK1;RPL22;C4B;RPL5;IKBKE;MAPK13;RPL21;RPS25;RPS6;RPL7A;TLR2;RPS24;PRKCG;RPS27A;RPLP0;RPL36A;RPL35;CCL2;RPS27L;CHUK;RPS4X;RPS21;RPS15;CFB;C3AR1;RPS15A;RPS20;RPS7;RPL8;RPL27A;RPS28;STING1;CXCL10;RPL12;RPL23;RPL34;RPL31;MRPL13;RPL22L1;RPL4;RPL26;RPL36;RPL38;RPS27;RPS8;RPL37;RPL14;RPS5;RPS12;CASP1;RPS26;RPL27;NLRP3;RPS17;IKBKB;OAS2;SYK;MYD88;RPL35A;IFIH1;RPS16;STAT1;RPLP1;RPS14;UBA52;STAT2;RPL7;RPS23;RPLP2;RPL37A;RPL28;C5AR1;RPL39;RPL10A;RPL19;RPS3;RPS11;RPL18A;TLR3;RPL6"
1;prerank;RIBOSOME;-0.547877136079846;-2.4552938427708573;0.0;0.002071890276144126;0.004;87/149;22.95%;"MRPL11;RPL9;RPL29;MRPL48;MRPL3;MRPS31;RPL22;RPL5;RPL21;RPS25;RPS6;RPL7A;RPS24;RPS27A;RPLP0;RPL36A;MRPS14;RPL35;RPS27L;MRPS22;MRPL15;RPS4X;RPS21;RPS15;RPS15A;RPS20;RPS7;RPL8;RPL27A;RPS28;RPL12;RPL23;RPL34;MRPL30;RPL31;MRPL13;RPL22L1;RPL4;MRPL52;RPL26;RPL36;RPL38;RPS27;RPS8;RPL37;RPL14;RPS5;RPS12;RPS26;RPL27;RPS17;MRPS33;RPL35A;RPS16;RPLP1;RPS14;UBA52;RPL7;RPS23;RPLP2;MRPL32;RPL37A;MRPL51;MRPS11;MRPL24;RPL28;MRPL33;MRPL42;RPL39;RPL10A;RPL19;MRPL10;RPS3;RPS11;RPL18A;RPL6;MRPL47;RPS10;FAU;MRPL40;MRPL12;MRPS10;RPL3;RPL13A;MRPS21;RPSA;RPS9"
2;prerank;STAPHYLOCOCCUS AUREUS INFECTION;-0.5562370584114656;-1.9449160710195295;0.0058823529411764705;0.16195275658526584;0.217;16/33;11.02%;"FCGR2B;C1QB;C3;C1QA;C1QC;PTAFR;C4B;KRT19;KRT12;SELPLG;CFB;KRT18;C3AR1;ITGB2;KRT10;ITGAM"
3;prerank;SYSTEMIC LUPUS ERYTHEMATOSUS;-0.556010037725339;-1.8640460428943435;0.004016064257028112;0.1872470837065254;0.304;17/33;20.51%;"GRIN2B;C1QB;C3;H2AJ;GRIN2A;C1QA;C1QC;C4B;CD80;CXCL10;SSB;H2AZ2;TRIM21;H2BC21;MACROH2A1;H2BC12;RO60"
4;prerank;PROTEIN EXPORT;-0.5603194720759459;-1.8433926571591297;0.003861003861003861;0.16409370987061475;0.326;9/28;13.69%;"SRP9;SEC63;SRP68;IMMP1L;SEC61B;SEC61G;GET4;SGTA;SPCS1"
5;prerank;IL-17 SIGNALING PATHWAY;-0.46078396111485187;-1.8105501931270442;0.007285974499089253;0.16212541410827785;0.373;14/67;7.38%;"S100A8;S100A9;CCL11;FADD;CCL7;LCN2;MMP9;IL25;IKBKE;MAPK13;CCL2;CHUK;CASP8;CXCL10"
6;prerank;GLUTATHIONE METABOLISM;-0.4546838027114436;-1.6858446556715143;0.013461538461538462;0.2683097907606643;0.657;21/49;20.92%;"GSTO2;MGST1;GGCT;TXNDC12;SRMS;LAP3;GSTM5;HPGDS;GSTP1;PHGDH;GSTA1;GGT1;CHAC2;GPX6;RRM1;PRNP;GSTK1;MGST3;UBL4A;GPX4;GSTA4"
7;prerank;PERTUSSIS;-0.450793233497648;-1.6838442530879032;0.011538461538461539;0.23736092976076142;0.661;15/54;11.74%;"C1QB;C3;IRF8;C1QA;C1QC;IRAK1;C4B;MAPK13;IRF1;ITGB2;CASP1;NLRP3;ITGAM;LY96;MYD88"
8;prerank;HERPES SIMPLEX VIRUS 1 INFECTION;-0.38562225640963704;-1.6693968057493367;0.014234875444839857;0.22894387551392592;0.704;34/129;14.72%;"TNFRSF1A;SOCS3;C3;FADD;PILRA;BID;EIF2AK1;IRAK1;CASP9;IKBKE;EIF4EBP1;TLR2;AKT2;TLR9;BAK1;CCL2;CHUK;SRSF7;TAPBPL;CASP8;STING1;PML;BCL2L1;B2M;IKBKB;OAS2;SYK;MYD88;IFIH1;STAT1;DAXX;STAT2;CD74;SRSF2"
9;prerank;VIRAL PROTEIN INTERACTION WITH CYTOKINE AND CYTOKINE RECEPTOR;-0.47075374638548984;-1.6667067261159796;0.019120458891013385;0.2090537288629423;0.71;17/41;14.42%;"TNFRSF1A;CCL11;IL20RB;CCL7;CCL2;CXCL14;ACKR3;CSF1;CXCL10;CCL22;CCL25;LTBR;CCR5;TNFRSF1B;CX3CR1;CSF1R;IL10RA"
10;prerank;CITRATE CYCLE (TCA CYCLE);0.5110705829837339;1.666086761658106;0.006160164271047228;0.8696325049790058;0.571;16/27;30.89%;"PCK2;MDH2;IDH3A;CS;IDH3G;MDH1;LDHD;IDH3B;ACO2;DLAT;SDHA;SUCLG1;SUCLA2;ACLY;PDHA1;ACO1"
11;prerank;BASE EXCISION REPAIR;-0.46726409903077254;-1.6626377154186112;0.010948905109489052;0.19475768595754783;0.715;7/41;5.65%;"MBD4;POLE3;OGG1;UNG;PNKP;POLD2;PARP4"
12;prerank;LEISHMANIASIS;-0.453433926504259;-1.6546152284557307;0.02626641651031895;0.18724708370652537;0.734;18/49;17.20%;"C3;CYBB;NCF2;IRAK1;MAPK13;TLR2;ITGB2;NCF4;CYBA;PTPN6;NCF1;ITGAM;MARCKSL1;MYD88;STAT1;EEF1A1;TGFB1;CR1L"
