;Name;Term;ES;NES;NOM p-val;FDR q-val;FWER p-val;Tag %;Gene %;Lead_genes
0;prerank;PROTEASOME;-0.683089053167538;-2.744782147713592;0.0;0.0;0.0;24/44;11.27%;"PSMA3;PSMA5;PSMD13;PSMA1;PSMA6;PSMD11;PSMB7;PSMD2;PSMD8;PSMB4;PSMC6;PSMD1;PSMD3;PSME4;SEM1;PSMD7;PSMB1;PSMD12;POMP;PSMD6;PSMD14;PSMC4;PSMB2;PSMC1"
1;prerank;COCAINE ADDICTION;0.5121617497778624;1.9167760245298509;0.0;0.04217174023669411;0.047;18/44;15.73%;"GRIN2D;PDYN;SLC18A2;ADCY5;GRIN2B;GRM3;GRIN2C;CREB5;LLGL1;CREB3L1;MAOB;PPP1R1B;GPSM1;GNAS;DDC;GNAI2;FOSB;CREB3L4"
2;prerank;TERPENOID BACKBONE BIOSYNTHESIS;-0.5735252386698652;-1.8895656644835193;0.0026455026455026454;0.06670763952141347;0.102;12/20;19.89%;"FDPS;PDSS2;IDI1;HMGCR;HMGCS1;DHDDS;MVK;ZMPSTE24;PDSS1;SOAT2;NUS1;SOAT1"
3;prerank;GABAERGIC SYNAPSE;0.4440765317486044;1.8544619796849915;0.0;0.050078941531074256;0.108;27/79;13.84%;"GAD1;HAP1;SLC38A5;GABRB1;ADCY5;GABRG3;GABRE;SLC38A3;SLC6A1;GNG11;ADCY8;GABRA6;PLCL1;GAD2;ABAT;ADCY4;GABRA3;GLUL;PRKCG;SLC12A5;SLC6A11;SLC38A1;PRKCB;GABRA5;GNAI2;CACNA1S;TRAK2"
4;prerank;NEUROACTIVE LIGAND SIGNALING;0.4047099207615953;1.8449311565986255;0.0;0.04041458439349853;0.129;46/161;13.50%;"PNOC;SLC5A7;ADRB1;GRIN2D;PENK;SLC1A6;PDYN;SLC18A2;GABRB1;ADCY5;GABRG3;ADRA2A;GRIN2B;TACR1;GABRE;GRM3;CHRNA4;SLC6A1;GNG11;ADCY8;GABRA6;ACHE;GRIN2C;SLC6A9;GRIA1;HRH3;SH2D3C;SLC1A2;GRM5;GRIK5;SLC6A5;GRM1;SLC1A3;ADCY4;GABRA3;PRKCG;MC4R;SLC6A11;HTR2C;DRD5;GNAS;SLC1A1;HTR1A;PRKCB;GABRA5;GNAI2"
5;prerank;STEROID BIOSYNTHESIS;-0.5991334748933521;-1.797024853765583;0.0125;0.1109715872412299;0.228;13/15;31.39%;"LMBR1;SQLE;DHCR24;SC5D;HSD17B7;TM7SF2;SOAT2;NSDHL;SOAT1;FDFT1;DHCR7;CYP2R1;SH3D19"
6;prerank;BIOSYNTHESIS OF VARIOUS NUCLEOTIDE SUGARS;-0.5514392569064126;-1.7911346605736693;0.012853470437017995;0.08665758778949975;0.236;9/19;20.19%;"CYB5R4;UAP1;UGP2;GFUS;NPL;GMPPA;CYB5R3;CMAS;CYB5R1"
7;prerank;AMPHETAMINE ADDICTION;0.4468160852297582;1.7493572345870423;0.0015128593040847202;0.10037752754254797;0.351;23/59;20.34%;"ARC;GRIN2D;PDYN;SLC18A2;PPP1CC;ADCY5;GRIN2B;GRIN2C;CREB5;GRIA1;FOS;CREB3L1;MAOB;PPP1R1B;PRKCG;GNAS;PRKCB;DDC;FOSB;CREB3L4;GRIA3;CAMK2B;PPP3CA"
8;prerank;GLUTAMATERGIC SYNAPSE;0.40549781189366496;1.7359125712331556;0.0;0.09225068176776836;0.393;32/103;15.12%;"ITPR2;GRIN2D;SLC1A6;PRKCSH;PLD2;ADCY5;GRIN2B;GRM3;SLC38A3;GNG11;ADCY8;GRIN2C;GRIA1;LLGL1;SLC1A2;GRM5;SHANK3;GRIK5;GRM1;SLC1A3;ADCY4;GLUL;PRKCG;SLC38A1;GNAS;PLA2G4A;GRK3;SLC1A1;PRKCB;GNAI2;GRK2;SHANK1"
9;prerank;SNARE INTERACTIONS IN VESICULAR TRANSPORT;-0.4680106790575602;-1.73241294261836;0.002631578947368421;0.11845281784176223;0.361;15/29;26.04%;"STX8;SEC22B;VAMP4;SNAP29;BET1;YKT6;UBE2Z;VAMP2;STX2;VTI1B;VTI1A;SNAP23;STX7;BNIP1;VAMP8"
10;prerank;MORPHINE ADDICTION;0.3948111786599732;1.6650243615641658;0.0;0.1689798202539757;0.64;26/82;14.59%;"GABRB1;PDE1B;ADCY5;GABRG3;PDE8B;GABRE;GNG11;ADCY8;GABRA6;PDE4A;PDE2A;PDE4C;PDE8A;ADCY4;GABRA3;PRKCG;KCNJ9;GNAS;PDE4B;PDE1A;GRK3;PRKCB;GABRA5;GNAI2;GRK2;PDE7B"
11;prerank;RIBOFLAVIN METABOLISM;-0.6652470040982206;-1.659397372645504;0.03811659192825112;0.18141984206290956;0.561;5/8;23.23%;"BLVRB;ENPP1;ENPP3;ACP5;ACP2"
12;prerank;CAMP SIGNALING PATHWAY;0.35070415250577786;1.6548268018822239;0.0;0.1581440258876029;0.677;60/188;22.33%;"ADRB1;PLCE1;HHIP;GRIN2D;RNASE1;SST;PRKCSH;CHGA;EDN1;PLD2;PKN1;LIPE;PPP1CC;ADCY5;PLN;GRIN2B;ADCY8;GRIN2C;CREB5;ADCYAP1R1;GRIA1;FOS;PDE4A;PIK3R2;PDE4C;NFKBIA;VIPR2;ATP1A2;CREB3L1;PPP1R1B;ATP1B2;ADCY4;NPR1;GLP1R;DRD5;HCN2;GNAS;PDE4B;NCOA3;HTR1A;GNAI2;PTGER2;CACNA1S;VAV2;CRHR1;CREBBP;CREB3L4;GLI3;ADORA1;GRIA3;ATP2A3;SOX9;RAPGEF4;HCAR1;CAMK2B;ATP1A3;FXYD2;DRD2;EP300;HCN4"
