;Name;Term;ES;NES;NOM p-val;FDR q-val;FWER p-val;Tag %;Gene %;Lead_genes
0;prerank;STAPHYLOCOCCUS AUREUS INFECTION;-0.6829287858583047;-2.2466777636145405;0.0;0.0010639005253008844;0.001;14/33;5.95%;"ITGAM;C1QA;C1QB;SELPLG;ITGB2;C3AR1;C4B;C3;FCGR2B;C1QC;KRT12;ICAM1;KRT19;C5AR1"
1;prerank;CITRATE CYCLE (TCA CYCLE);0.6518094952932779;2.1302094796068274;0.0;0.002695275340873058;0.003;13/27;14.77%;"PCK2;MDH2;IDH3G;IDH3A;SUCLG1;MDH1;ACO2;SDHA;IDH3B;LDHD;SDHB;CS;SUCLA2"
2;prerank;SYSTEMIC LUPUS ERYTHEMATOSUS;-0.6322583485693851;-2.0879324818144642;0.0;0.0015958507879513266;0.003;14/33;11.90%;"H2AJ;C1QA;C1QB;C4B;C3;C1QC;GRIN2B;RO60;SSB;CD86;TRIM21;CD80;H2BC12;H2AC6"
3;prerank;MALARIA;-0.6250142514303567;-2.061427067135269;0.0;0.0010639005253008844;0.003;14/31;9.96%;"THBS1;ITGB2;VCAM1;ICAM1;TLR2;CR1L;TLR9;TGFB1;THBS4;CD81;THBS2;MYD88;ITGAL;SDC2"
4;prerank;LEISHMANIASIS;-0.5588480099272317;-2.028501327024969;0.0;0.0013298756566261056;0.005;16/49;7.45%;"ITGAM;ITGB2;CYBB;C3;MARCKSL1;PTPN6;NCF1;NCF4;CYBA;NCF2;TLR2;STAT1;CR1L;MAPK13;TGFB1;MYD88"
5;prerank;OLFACTORY TRANSDUCTION;0.5742377480009455;2.026420211730501;0.0;0.009433463693055703;0.02;19/35;24.06%;"PRKG2;GNAL;PDE2A;CALM2;PRKCA;GRK2;GRK3;SLC8A2;CAMK2A;CAMK2D;CNGB1;GNB1;CALM1;PDE1B;CAMK2G;CALML4;CNGA4;CALM3;NCALD"
6;prerank;COMPLEMENT AND COAGULATION CASCADES;-0.5506425201360713;-2.0148545986553614;0.0;0.0019150209455415918;0.009;21/52;16.54%;"ITGAM;C1QA;C1QB;ITGB2;C3AR1;C4B;C3;C1QC;ITGAX;CR1L;C5AR1;F8;CFH;A2M;PROS1;VTN;BDKRB2;PROCR;VWF;CFB;HNRNPC"
7;prerank;VIRAL PROTEIN INTERACTION WITH CYTOKINE AND CYTOKINE RECEPTOR;-0.5643697220232742;-1.9607040203124215;0.0;0.004610235609637166;0.026;17/41;13.87%;"TNFRSF1A;CSF1;CSF1R;CX3CR1;LTBR;CCL11;CXCL14;CCR5;CCL7;ACKR3;CCR2;TNFRSF14;IL10RA;TNFRSF1B;TNFSF10;IL18;IL20RB"
8;prerank;OSTEOCLAST DIFFERENTIATION;-0.4713345601069615;-1.9548940044946483;0.0;0.004103616311874839;0.027;33/108;11.48%;"TNFRSF1A;CSF1;CSF1R;SPI1;FCGR2B;ATP2A1;TREM2;NCF1;NCF4;TYROBP;CYBA;SYK;IRF9;SOCS3;NCF2;STAT1;ACP5;MAPK13;MAP2K6;ITPR2;CREB1;TGFB1;AKT2;CAMK4;IKBKB;NFATC1;ITPR1;BTK;BLNK;CTSK;ITGB3;NFKB2;TGFBR2"
9;prerank;HERPES SIMPLEX VIRUS 1 INFECTION;-0.4442219058418877;-1.888318966613926;0.0;0.008378216636744465;0.06;51/129;20.50%;"TNFRSF1A;BID;STING1;C3;OAS2;TLR3;TAPBPL;EIF2AK1;SYK;EIF4EBP1;IRF9;SOCS3;FADD;IRF7;TLR2;STAT1;B2M;TLR9;EIF2AK2;AKT2;CD74;IKBKB;MYD88;CASP8;CARD9;SP100;TSC1;TNFRSF14;BST2;IRAK1;PILRA;ITGB3;ITGA5;IKBKE;CALR;POU2F1;NFKB1;PML;SRSF7;SRSF6;PPP1CB;TRAF6;OAS3;CHUK;ZC3HAV1;BCL2L1;STAT2;SRSF4;BIRC3;PDIA3;POU2F2"
10;prerank;PHENYLALANINE METABOLISM;-0.7453227634022319;-1.8819458656388557;0.0018656716417910447;0.007801937185539818;0.063;7/11;15.79%;"ATAT1;S100A9;DDC;ALDH3A1;IL4I1;AOC3;MAOB"
11;prerank;INFLAMMATORY BOWEL DISEASE;-0.5784016223543479;-1.858002920948978;0.001692047377326565;0.010426225147948666;0.093;16/29;30.01%;"TLR2;STAT1;RORA;TGFB1;GATA3;NFATC1;IL21R;IL18;NFKB1;TLR4;SMAD3;STAT4;IL18RAP;RELA;IL1B;JUN"
12;prerank;CELL ADHESION MOLECULE (CAM) INTERACTION;-0.4404900215951681;-1.8245403490677292;0.0;0.015184762042930806;0.139;45/103;23.93%;"ITGAM;SELPLG;IGSF11;ITGB2;VCAM1;PTPRD;PTPRC;SIGLEC1;CLDN10;CLDN11;CXADR;VSIR;ICAM1;CLDN22;F11R;PTPRF;CLDN1;SELL;NEO1;MAG;NRCAM;SDC4;CD86;ITGAL;CD80;SDC2;SDC3;NCAM2;ITGB7;CDH15;ICAM2;CD274;CD4;LRRC4B;VTCN1;NCAM1;CDH5;SLITRK3;VCAN;ITGB8;CD22;ITGAV;GLG1;CLDN14;SLITRK1"
13;prerank;FC EPSILON RI SIGNALING PATHWAY;-0.4900198174923166;-1.8112812481497738;0.001718213058419244;0.01649045814216371;0.165;16/54;10.74%;"RAC2;INPP5D;PLA2G4A;ALOX5AP;NRAS;VAV1;FCER1G;PLCG1;SYK;MAPK13;NCOA3;MAP2K6;AKT2;BTK;LYN;SPNS1"
14;prerank;CIRCADIAN RHYTHM;-0.5609872197332315;-1.8058338939030705;0.0017574692442882249;0.01612218488340571;0.174;8/32;5.76%;"BHLHE41;PER3;BHLHE40;RORB;NR1D2;PER2;CREB1;RORA"
15;prerank;ALCOHOLIC LIVER DISEASE;-0.4342771263329402;-1.7965813165088362;0.0;0.017250387088807197;0.195;34/105;19.35%;"TNFRSF1A;C1QA;C1QB;C3AR1;C4B;C3;C1QC;LBP;FADD;MAPK13;MAP3K5;MAP2K6;C5AR1;AKT2;ADIPOR2;TCF7L2;IKBKB;IL17RA;MYD88;CASP8;IRAK1;TCF7L1;ALDH1B1;ADH7;ACACA;IKBKE;NFKB1;PRKAG2;HNRNPC;TRAF6;ACOX1;CHUK;CPT1A;ACADVL"
