;Name;Term;ES;NES;NOM p-val;FDR q-val;FWER p-val;Tag %;Gene %;Lead_genes
0;prerank;ANTIGEN PROCESSING AND PRESENTATION;-0.6044437054786443;-2.0572449101481234;0.0;0.015054194016201387;0.013;16/35;14.77%;"HSPA5;CALR;CREB1;PDIA3;CD74;NFYA;HSP90AA1;HSPA4;LGMN;B2M;HSPA8;HSPA1L;TAPBP;CANX;PSME3;CTSB"
1;prerank;SYSTEMIC LUPUS ERYTHEMATOSUS;-0.5926366223609961;-2.013213264091396;0.0;0.01563320147836298;0.026;10/33;8.59%;"HNRNPC;C1QC;C3;C1QB;C1QA;GRIN2B;GRIN2A;H2AC19;TRIM21;H2BC4"
2;prerank;STAPHYLOCOCCUS AUREUS INFECTION;-0.6035931829119969;-1.987004912446495;0.0;0.015054194016201386;0.037;14/33;13.73%;"HNRNPC;C1QC;C3;C1QB;FCGR2B;KRT12;C3AR1;C1QA;C5AR1;KRT28;ITGAL;CFI;KRT19;ITGB2"
3;prerank;PROTEIN PROCESSING IN ENDOPLASMIC RETICULUM;-0.4138542646036054;-1.8764276346106972;0.0;0.04545208577968496;0.138;62/159;22.09%;"HSPA5;DAD1;CALR;PDIA6;PDIA3;WFS1;HSP90B1;SEC61A2;XBP1;PDIA4;SKP1;CASP12;HSPA4L;RPN1;HSP90AA1;DNAJA2;SAR1A;SEC24C;SEL1L;UBQLN1;HSPH1;PLAA;CUL1;BCL2;STT3B;DNAJC3;TANK;OSTC;NGLY1;ATF6B;MAPK8;HSPA8;HSPA1L;UBQLN4;DNAJB12;CANX;GANAB;HYOU1;EDEM1;DNAJB2;BAX;SYVN1;CAPN2;PREB;RAD23A;BAG2;NSFL1C;STT3A;MAP3K5;SEC61B;SEC23B;P4HB;NFE2L2;UGGT1;DNAJB1;SEC31A;MOGS;BAG1;STUB1;DNAJB11;SEC24A;DNAJA1"
4;prerank;ALCOHOLIC LIVER DISEASE;-0.41810879191650624;-1.7700622341795158;0.0;0.10144210737071088;0.33;33/105;15.73%;"HNRNPC;C1QC;PRKAG2;C3;C1QB;C3AR1;C1QA;C5AR1;CYP2E1;CCND1;ALDH1B1;TRADD;FASN;ACADVL;TRAF3;AKT2;ADH7;MAPK13;TCF7L2;PRKAA1;PPARA;TRA2A;SREBF1;MYD88;LEF1;MAPK8;TLR4;AKT3;MAPK14;FADD;LPIN2;TBK1;PRKAA2"
5;prerank;PHAGOSOME;-0.4153534342874089;-1.738661467294415;0.001838235294117647;0.11406447004583359;0.406;35/101;20.91%;"TUBB6;CALR;C3;FCGR2B;SEC61A2;ATP6V0A2;CYBA;STX7;ATP6V1D;THBS1;NCF4;ATP6V1G1;ITGA2;STX18;EEA1;MPO;ATP6V0A1;MSR1;ATP6V0D1;SEC22B;HGS;TLR4;CANX;MRC1;ITGB2;DYNC2H1;TUBB3;ATP6V1H;THBS2;PLA2R1;SEC61B;TLR2;DYNC1LI1;ITGB3;M6PR"
6;prerank;ARACHIDONIC ACID METABOLISM;-0.5049459266666473;-1.712067688218893;0.007782101167315175;0.12638905745470175;0.494;13/37;11.58%;"PTGR1;PTGES3;CYP2E1;PLA2G5;PLA2G6;PLA2G12A;TBXAS1;GGT5;PTGES;PTGS2;PLA2G3;PTGR2;ALOX12"
7;prerank;PERTUSSIS;-0.4495107583327653;-1.6995361620549783;0.007434944237918215;0.12332858944041906;0.534;15/54;14.84%;"HNRNPC;CFL2;C1QC;C3;C1QB;C1QA;IRF1;MAPK13;MYD88;MAPK8;NLRP3;TLR4;IRF8;ITGB2;MAPK14"
8;prerank;ALANINE, ASPARTATE AND GLUTAMATE METABOLISM;-0.5224844734287981;-1.6923773158832423;0.00749063670411985;0.11773151730619034;0.562;10/29;16.46%;"GLS2;ASNS;ASPA;ALDH4A1;GAD2;GPT;GFPT1;COASY;IL4I1;NAT8L"
9;prerank;STEROID BIOSYNTHESIS;-0.6073426917697888;-1.6811423295641352;0.028037383177570093;0.11672790437177691;0.59;9/15;20.09%;"SQLE;MSMO1;DHCR7;TM7SF2;SOAT1;SC5D;HSD17B7;CYP2R1;NSDHL"
10;prerank;HERPES SIMPLEX VIRUS 1 INFECTION;-0.3812191286797046;-1.6746702350631335;0.0;0.1129590921635251;0.608;51/129;24.41%;"CALR;C3;PDIA3;OAS3;CCL2;PPP1CB;EIF2AK1;SOCS3;STAT2;CD74;STING1;IRF9;IRF7;TRADD;FASN;BST2;TRAF3;BID;AKT2;CASP9;EIF2B3;BCL2;PIK3CA;TANK;BAD;MYD88;IFNGR2;B2M;TAPBP;OAS2;CARD9;AKT3;TLR9;BAX;FADD;TBK1;CYCS;POU2F2;TLR2;MTOR;TLR3;ITGB3;PIK3R3;STAT1;EIF2AK4;EIF4EBP1;PIK3CB;BIRC2;SRPK1;IRAK4;TNFRSF1A"
11;prerank;MEASLES;-0.3863716602806698;-1.6323176470211023;0.005253940455341506;0.15083144389309466;0.744;34/101;15.49%;"FCGR2B;JAK3;OAS3;TLR7;EIF2AK1;STAT2;CCND1;IRF9;IRF7;TRADD;FASN;TRAF3;BID;AKT2;CASP9;BCL2;PIK3CA;BAD;CDK6;MYD88;ADAR;MAPK8;IL2RB;MMAB;HSPA8;TLR4;HSPA1L;OAS2;AKT3;RAB9B;TLR9;BAX;FADD;TBK1"
12;prerank;TUBERCULOSIS;-0.3686594831794377;-1.6011758975707655;0.001763668430335097;0.18367898261187726;0.826;41/124;18.92%;"CREB1;C3;FCGR2B;ATP6V0A2;FCER1G;CD74;TRADD;NFYA;TLR1;BID;AKT2;MAPK13;CASP9;ARHGEF12;CTSD;BCL2;EEA1;ATP6V0A1;BAD;MYD88;CR1L;ATP6V0D1;MAPK8;IFNGR2;TLR4;MRC1;ITGB2;CARD9;AKT3;TLR9;MAPK14;BAX;FADD;ATP6V1H;IL10RA;HSPA9;CYCS;RFXANK;TGFB1;PLA2R1;TLR2"
13;prerank;RIBOSOME;0.34608467055844816;1.5913279913847471;0.0;1.0;0.802;56/149;23.07%;"MRPS23;RPL37;RPS4X;RPL4;RPL3;RPL30;RPL32;RPL36;RPL26;RPL11;RPS29;RPS14;MRPS18C;RPL18A;RPL6;RPL22;MRPL44;RPS21;MRPL46;RPS18;RPS24;RPS16;RPL22L1;RPL19;RPL18;RPS10;MRPS21;RPS13;RPL37A;RPS19;MRPL50;RPS15A;RPL9;MRPL43;RSL24D1;RPS28;RPS5;RPL39;RPS3;RPL13A;FAU;RPLP1;RPL8;MRPS9;RPS27;MRPS18B;RPL10A;RPSA;RPS2;RPL38;RACK1;NR4A2;MRPS10;RPL36AL;MRPL20;RPL5"
14;prerank;COMPLEMENT AND COAGULATION CASCADES;-0.42511224436310163;-1.5800716624708493;0.016453382084095063;0.2021563196461329;0.878;7/52;1.69%;"HNRNPC;C1QC;C3;C1QB;C3AR1;C1QA;C5AR1"
15;prerank;PROTEIN EXPORT;-0.4835052190723784;-1.5726277270185054;0.04093567251461988;0.2019578028019632;0.889;12/28;19.65%;"HSPA5;SEC61A2;UBL4A;OXA1L;SPCS1;IMMP2L;GET1;SPCS3;SRP9;TMEM208;SEC61B;IMMP1L"
16;prerank;ALDOSTERONE-REGULATED SODIUM REABSORPTION;0.4530681311276233;1.5138663238217638;0.037815126050420166;1.0;0.94;6/28;4.89%;"NEDD4L;PRKCA;IRS1;SGK1;FXYD2;PRKCG"
17;prerank;LINOLEIC ACID METABOLISM;-0.5912285379953398;-1.5134808933544157;0.04380952380952381;0.29797171521490917;0.965;5/12;10.21%;"CYP2E1;PLA2G5;PLA2G6;PLA2G12A;PLA2G3"
18;prerank;ALPHA-LINOLENIC ACID METABOLISM;-0.5686216270110381;-1.49992820332459;0.06551059730250482;0.3081682069198872;0.976;5/13;10.21%;"FADS2;PLA2G5;PLA2G6;PLA2G12A;PLA2G3"
19;prerank;TERPENOID BACKBONE BIOSYNTHESIS;-0.5021894069519895;-1.489814778368669;0.052941176470588235;0.3156877352029923;0.979;10/20;18.58%;"MVD;SOAT1;NUS1;FDPS;IDI1;MVK;PDSS1;HMGCS1;DHDDS;ZMPSTE24"
20;prerank;RETINOL METABOLISM;-0.4785412796596442;-1.4739312769643944;0.05166051660516605;0.3366776022084877;0.989;7/22;16.57%;"DHRS3;RDH5;ADH7;DGAT1;AOX1;RDH10;RDH11"
21;prerank;KAPOSI SARCOMA-ASSOCIATED HERPESVIRUS INFECTION;-0.3244427737765496;-1.4498127950840274;0.010752688172043012;0.3773970638369255;0.996;47/150;20.73%;"CREB1;C3;GNG13;GNG5;UBC;ANGPT2;STAT2;CCND1;VEGFA;IRF9;IRF7;ATG14;ITPR1;TRADD;HCK;FASN;TRAF3;BID;AKT2;MAPK13;TCF7L2;CASP9;NRAS;PIK3CA;CCR5;PTGS2;UBB;TANK;HIF1A;CDK6;LEF1;MAPK8;AKT3;MAPK14;BAX;FADD;TBK1;CYCS;MAP1LC3A;MAP2K1;MAP2K6;ITPR3;MTOR;TLR3;PIK3R3;PDGFB;STAT1"
22;prerank;FOLATE BIOSYNTHESIS;-0.4987199558776083;-1.4497004070738906;0.068762278978389;0.3598669236253855;0.996;8/18;17.16%;"ALPL;GCH1;TACR1;FPGS;PCBD1;PCBD2;TPH2;GPHN"
23;prerank;HORMONE SIGNALING;0.3109835466649127;1.446567313852284;0.016129032258064516;1.0;0.989;42/157;17.45%;"POMC;MC4R;PRKCA;IRS1;SSTR2;GHRHR;CRHR2;GNB5;PRL;MCHR1;PNOC;LHB;ADRB1;DRD5;FSHB;RIPK2;IGF1R;ADCY5;ADRA1D;ADCY6;GNB3;GNG11;GNAI1;ADRB2;ADCY7;ITGAV;GPER1;JAK2;PRKG2;DRD2;RAPGEF4;PIK3R2;PTH1R;CHGA;SLC16A2;OPRK1;SSTR3;ADCY1;GNAI3;THRB;C1QTNF1;NPRL3"
24;prerank;IL-17 SIGNALING PATHWAY;-0.36966446433983724;-1.4439788666607147;0.03467153284671533;0.35677387077556993;0.997;22/67;16.51%;"CCL7;IL25;CCL2;HSP90B1;MMP9;TRADD;S100A9;HSP90AA1;TRAF3;MAPK13;CCL11;LCN2;S100A8;PTGS2;TANK;S100A7A;MAPK8;MAPK6;MAPK14;FADD;TBK1;USP25"
25;prerank;INSULIN SIGNALING PATHWAY;-0.33538786361037726;-1.4433324374703858;0.01601423487544484;0.34302415997451524;0.997;34/122;21.98%;"PPP1R3E;PYGL;PRKAG2;SOCS4;PPP1CB;SOCS3;FASN;PDE3B;AKT2;SOS2;EIF4E2;NRAS;PIK3CA;PRKAA1;EIF4E;SREBF1;BAD;MAPK8;MMAB;AKT3;BRAF;HOOK3;PRKAA2;FBP1;PTPRF;HKDC1;LIPE;MAP2K1;RPTOR;PHKA2;MTOR;PIK3R3;RHOQ;EIF4EBP1"
26;prerank;OVARIAN STEROIDOGENESIS;0.41030993529905396;1.4297769475527613;0.05102040816326531;1.0;0.992;13/35;16.29%;"PRKCA;LHB;FSHB;ACOT2;IGF1R;ADCY5;ADCY6;PLA2G4E;ADCY7;HSD17B1;CYP1B1;CHGA;ADCY1"
27;prerank;TNF SIGNALING PATHWAY;-0.34200592133539903;-1.4171626046023793;0.019855595667870037;0.394304081732044;0.999;34/100;19.19%;"CREB1;MMP14;JAG1;CCL2;TNFRSF1B;MMP9;SOCS3;BCL3;RNASEH2A;TRADD;FASN;IRF1;TRAF3;AKT2;MAPK13;CX3CL1;DNM1L;PIK3CA;IL15;PTGS2;TANK;ATF6B;BAG4;MAPK8;MLKL;AKT3;MAPK14;FADD;MAP2K1;CASP7;MAP3K8;MAP2K6;MAP3K5;TRAF1"
28;prerank;UBIQUITIN MEDIATED PROTEOLYSIS;-0.3194847178840648;-1.4136031383756689;0.020869565217391306;0.38812028203615817;0.999;48/134;25.68%;"UBE2A;TRIM37;UBC;SOCS3;CUL7;SKP1;CUL2;UBE2E3;UBA6;UBE2B;TRIM32;CDC34;KEAP1;UBE2Q1;CUL1;UBA7;UBE2QL1;UBB;UBE2I;MMACHC;UBE2W;MGRN1;MMAB;ANAPC4;WWP1;CDC27;RHOBTB2;UBE3A;UBE2M;SYVN1;CDC16;PPIL2;UBE2Q2;ANAPC1;UBE3C;CUL5;STUB1;ITCH;PIAS1;ANAPC10;BIRC2;UBE2F;SMURF2;HERC4;FBXW8;UBE2C;MPG;UBA3"
29;prerank;PENTOSE PHOSPHATE PATHWAY;-0.46005579871557334;-1.407009230963223;0.08905380333951762;0.39069641985242176;0.999;5/24;5.72%;"TKT;UBL4A;PFKL;H6PD;ALDOC"
30;prerank;D-AMINO ACID METABOLISM;-0.6808070699483679;-1.3946718667171574;0.10204081632653061;0.4092939415857831;0.999;1/5;0.34%;GLS2
31;prerank;LYSINE DEGRADATION;0.35464313799099734;1.3913586178551494;0.044967880085653104;1.0;0.998;31/60;32.18%;"ALDH7A1;PIPOX;DHTKD1;SETDB1;EZH2;KMT5B;KMT2A;SETMAR;EHMT1;SMYD2;KMT2E;KMT2B;HADH;EHMT2;SUV39H1;COLGALT2;DOT1L;PRDM6;KMT5C;SMYD3;PRDM9;KMT2C;ALDH9A1;KMT2D;ALDH3A2;PHYKPL;SETD1B;CAMKMT;SETD2;ASH1L;DLST"
32;prerank;PHOSPHONATE AND PHOSPHINATE METABOLISM;-0.6663576805438858;-1.3885407244564762;0.11666666666666667;0.41159159024515446;1.0;4/6;31.79%;"CEPT1;CHPT1;PCYT1A;SELENOI"
33;prerank;STARCH AND SUCROSE METABOLISM;-0.46963397137314783;-1.3871611863916868;0.08534322820037106;0.4014318632489988;1.0;7/20;18.68%;"PYGL;UGP2;AGL;HOOK3;HKDC1;GAA;PGM2L1"
34;prerank;N-GLYCAN BIOSYNTHESIS;-0.3712678509401985;-1.3822228069063018;0.0622568093385214;0.4014065732678929;1.0;15/49;18.62%;"DAD1;ALG9;RPN1;MGAT4C;ALG1;DPM3;ALG8;DOLPP1;STT3B;OSTC;ALG13;GANAB;MAN2A2;DPM2;STT3A"
35;prerank;VARIOUS TYPES OF N-GLYCAN BIOSYNTHESIS;-0.3830827274203018;-1.3805132376752454;0.06469500924214418;0.3925670593455593;1.0;10/39;14.35%;"DAD1;ALG9;RPN1;MGAT4C;ALG1;HEXA;STT3B;OSTC;ALG13;MAN2A2"
