Gene_set;Term;Overlap;P-value;Adjusted P-value;Odds Ratio;Combined Score;Genes
gs_ind_0;ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY;2/77;0.0029559040479308846;0.021113162313737405;34.18474537565654;199.09027300856317;"SSPN;SLC8A3"
gs_ind_0;DILATED CARDIOMYOPATHY;2/86;0.0036718543154325924;0.021113162313737405;30.52540297898388;171.15771967321675;"SSPN;SLC8A3"
gs_ind_0;PROTEIN DIGESTION AND ABSORPTION;2/75;0.0028068319246129323;0.021113162313737405;35.11963406052076;206.3523938350032;"SLC8A3;COL6A3"
gs_ind_0;HYPERTROPHIC CARDIOMYOPATHY;2/82;0.003344579326291491;0.021113162313737405;32.05076033411866;182.70261430549192;"SSPN;SLC8A3"
gs_ind_0;CYTOSKELETON IN MUSCLE CELLS;2/199;0.01845797984462654;0.08490670728528209;12.961588825840245;51.746013035120555;"SSPN;COL6A3"
gs_ind_0;CIRCADIAN RHYTHM;1/32;0.033477299441700865;0.09567614297925647;46.12442396313364;156.67948835851155;BHLHE41
gs_ind_0;ENDOCRINE AND OTHER FACTOR-REGULATED CALCIUM REABSORPTION;1/44;0.04575815533790527;0.09567614297925647;33.373748609566185;102.93749776148682;SLC8A3
gs_ind_0;CHOLESTEROL METABOLISM;1/34;0.03553434561155019;0.09567614297925647;43.3649494463168;144.7199190041873;LCAT
gs_ind_0;MINERAL ABSORPTION;1/38;0.039636130826935;0.09567614297925647;38.729032258064514;125.01786538730853;SLC8A3
gs_ind_0;OLFACTORY TRANSDUCTION;1/35;0.03656132887191323;0.09567614297925647;42.10518934081347;139.31614250854693;SLC8A3
gs_ind_0;VIRAL MYOCARDITIS;1/40;0.04168088515217181;0.09567614297925647;36.763168640261334;116.82278585497733;SSPN
gs_ind_0;CARDIAC MUSCLE CONTRACTION;1/68;0.0698822764075913;0.13394102978121666;21.473118279569892;57.13874846164489;SLC8A3
gs_ind_0;ECM-RECEPTOR INTERACTION;1/80;0.08172878538539902;0.14459708183570597;18.21728545343883;45.62244076964477;COL6A3
gs_ind_0;GLYCEROPHOSPHOLIPID METABOLISM;1/89;0.09052067743069711;0.1487125414932881;16.35483870967742;39.28721696966581;LCAT
gs_ind_0;APELIN SIGNALING PATHWAY;1/117;0.11737122953553382;0.1774439682670206;12.400802990447183;26.56764730605885;SLC8A3
gs_ind_0;ADRENERGIC SIGNALING IN CARDIOMYOCYTES;1/127;0.12677926242305043;0.1774439682670206;11.412852224913935;23.571052673724445;SLC8A3
gs_ind_0;CGMP-PKG SIGNALING PATHWAY;1/136;0.1351660316273114;0.1774439682670206;10.648375193429354;21.310075681591787;SLC8A3
gs_ind_0;INTEGRIN SIGNALING;1/140;0.13886919255679875;0.1774439682670206;10.340270551508844;20.41399839455399;COL6A3
gs_ind_0;AXON GUIDANCE;1/170;0.16617276154395494;0.2011565008163665;8.493005994861548;15.242629714809143;SEMA3G
gs_ind_0;FOCAL ADHESION;1/185;0.1795181611251153;0.20644588529388258;7.794649881982691;13.387146705093631;COL6A3
gs_ind_0;CALCIUM SIGNALING PATHWAY;1/204;0.19613494483756164;0.2148144633935199;7.057858444955219;11.496915188705508;SLC8A3
gs_ind_0;HUMAN PAPILLOMAVIRUS INFECTION;1/271;0.2522473904229361;0.2637131808967059;5.285731321924751;7.2802754226136805;COL6A3
gs_ind_0;PI3K-AKT SIGNALING PATHWAY;1/286;0.2642963191391474;0.2642963191391474;5.00293768713632;6.65733105588663;COL6A3
