label,r,p_pearson,pct_same,p_binom,n,group,color
Female Healthy,0.599199960071627,6.54247830523806e-137,66.85755189692198,6.088638757143448e-37,1397,"Treatment
within subgroup",#6a51a3
Female Mutant,0.8627092689837239,6.248478343419037e-38,85.48387096774194,2.3143806930564677e-16,124,"Treatment
within subgroup",#6a51a3
Male Healthy,0.6430752753443415,8.71955475849108e-40,89.96960486322189,5.256888618522063e-54,329,"Treatment
within subgroup",#6a51a3
Male Mutant,0.4393158732144871,0.10133439947164655,86.66666666666667,0.00738525390625,15,"Treatment
within subgroup",#6a51a3
"BIM+BAK, Healthy",0.13356397517660498,1.1263949905211627e-07,67.24137931034483,4.417183141970043e-43,1566,"Sex
within treatment",#2166ac
"BIM+BAK, Mutant",0.4013454621816232,3.200024093165742e-06,87.3015873015873,1.9570967445371666e-18,126,"Sex
within treatment",#2166ac
"BIM-PF, Healthy",-0.09703512795234098,0.2296986732561603,41.935483870967744,0.05353757584043618,155,"Sex
within treatment",#d62728
"BIM-PF, Mutant",-0.8815334389942586,6.78531103054856e-05,30.76923076923077,0.266845703125,13,"Sex
within treatment",#d62728
"BIM+BAK, Female",-0.05613855505219383,0.032256036271855804,65.01718213058419,1.070946221215132e-30,1455,"Genotype
within treatment",#2166ac
"BIM+BAK, Male",0.2046540780424243,0.0022313485775768524,66.96832579185521,5.051957345285647e-07,221,"Genotype
within treatment",#2166ac
"BIM-PF, Female",-0.4192427646950059,0.029497092952180542,40.74074074074074,0.44206833839416504,27,"Genotype
within treatment",#d62728
"BIM-PF, Male",-0.326592612406137,6.864706549268161e-05,44.05594405594405,0.1807010858414864,143,"Genotype
within treatment",#d62728
