Gene_set;Term;Overlap;P-value;Adjusted P-value;Odds Ratio;Combined Score;Genes
gs_ind_0;Adenylate Cyclase-Activating Dopamine Receptor Signaling Pathway (GO:0007191);1/8;0.006863753899441254;0.06647712968089066;241.448;1202.7733982168293;GNAL
gs_ind_0;Attachment of GPI Anchor to Protein (GO:0016255);1/6;0.005151904414143408;0.06647712968089066;329.2909090909091;1734.8325517230178;PGAP1
gs_ind_0;ERBB4 Signaling Pathway (GO:0038130);1/6;0.005151904414143408;0.06647712968089066;329.2909090909091;1734.8325517230178;EREG
gs_ind_0;Chylomicron Remnant Clearance (GO:0034382);1/5;0.004294958665229007;0.06647712968089066;402.49333333333334;2193.714786954597;APOC1
gs_ind_0;ERBB2-EGFR Signaling Pathway (GO:0038134);1/6;0.005151904414143408;0.06647712968089066;329.2909090909091;1734.8325517230178;EREG
gs_ind_0;ERBB2 Signaling Pathway (GO:0038128);1/14;0.011983001916727071;0.06647712968089066;134.08444444444444;593.2252675002347;EREG
gs_ind_0;Establishment of Mitotic Sister Chromatid Cohesion (GO:0034087);1/7;0.006008169326922546;0.06647712968089066;278.6123076923077;1425.0003108779026;RAD21
gs_ind_0;Establishment of Meiotic Sister Chromatid Cohesion (GO:0034089);1/6;0.005151904414143408;0.06647712968089066;329.2909090909091;1734.8325517230178;RAD21
gs_ind_0;Glycerophospholipid Biosynthetic Process (GO:0046474);2/134;0.005711357784385368;0.06647712968089066;24.553732567678423;126.82735782865528;"PIK3CB;PGAP1"
gs_ind_0;Keratinocyte Proliferation (GO:0043616);1/8;0.006863753899441254;0.06647712968089066;241.448;1202.7733982168293;EREG
gs_ind_0;Negative Regulation of Triglyceride Catabolic Process (GO:0010897);1/5;0.004294958665229007;0.06647712968089066;402.49333333333334;2193.714786954597;APOC1
gs_ind_0;Nuclear Membrane Disassembly (GO:0051081);1/12;0.010279298692920073;0.06647712968089066;157.42434782608694;720.6293534363132;PADI4
gs_ind_0;Negative Regulation of Heterochromatin Formation (GO:0031452);1/10;0.008572884005555103;0.06647712968089066;190.59157894736842;907.0541187065593;PADI4
gs_ind_0;Negative Regulation of Lipoprotein Particle Clearance (GO:0010985);1/9;0.007718658627245995;0.06647712968089066;213.02823529411765;1036.1937671854926;APOC1
gs_ind_0;Negative Regulation of Cholesterol Transport (GO:0032375);1/11;0.009426430529258926;0.06647712968089066;172.42857142857142;804.247856669353;APOC1
gs_ind_0;Negative Regulation of Cellular Response to Vascular Endothelial Growth Factor Stimulus (GO:1902548);1/14;0.011983001916727071;0.06647712968089066;134.08444444444444;593.2252675002347;PIK3CB
gs_ind_0;Phospholipid Efflux (GO:0033700);1/13;0.011131488990773571;0.06647712968089066;144.8208;651.4006768913003;APOC1
gs_ind_0;Phosphatidylinositol-3-phosphate Biosynthetic Process (GO:0036092);1/12;0.010279298692920073;0.06647712968089066;157.42434782608694;720.6293534363132;PIK3CB
gs_ind_0;Positive Regulation of Cell Cycle Process (GO:0090068);2/121;0.004682594413318126;0.06647712968089066;27.248499181371656;146.1583054372482;"RAD21;EREG"
gs_ind_0;Positive Regulation of Gene Expression (GO:0010628);3/424;0.0050877246476696775;0.06647712968089066;11.606563859232898;61.29338828533186;"PIK3CB;PADI4;EREG"
gs_ind_0;Positive Regulation of ER to Golgi Vesicle-Mediated Transport (GO:1902953);1/13;0.011131488990773571;0.06647712968089066;144.8208;651.4006768913003;PGAP1
gs_ind_0;Negative Regulation of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900747);1/12;0.010279298692920073;0.06647712968089066;157.42434782608694;720.6293534363132;PIK3CB
gs_ind_0;Negative Regulation of Sprouting Angiogenesis (GO:1903671);1/12;0.010279298692920073;0.06647712968089066;157.42434782608694;720.6293534363132;PIK3CB
gs_ind_0;Negative Regulation of Triglyceride Metabolic Process (GO:0090209);1/11;0.009426430529258926;0.06647712968089066;172.42857142857142;804.247856669353;APOC1
gs_ind_0;Negative Regulation of Muscle Cell Differentiation (GO:0051148);1/11;0.009426430529258926;0.06647712968089066;172.42857142857142;804.247856669353;EREG
gs_ind_0;Negative Regulation of Smooth Muscle Cell Differentiation (GO:0051151);1/13;0.011131488990773571;0.06647712968089066;144.8208;651.4006768913003;EREG
gs_ind_0;Regulation of Heterochromatin Formation (GO:0031445);1/7;0.006008169326922546;0.06647712968089066;278.6123076923077;1425.0003108779026;PADI4
gs_ind_0;Positive Regulation of T-helper 17 Cell Differentiation (GO:2000321);1/11;0.009426430529258926;0.06647712968089066;172.42857142857142;804.247856669353;MALT1
gs_ind_0;Positive Regulation of T-helper 17 Type Immune Response (GO:2000318);1/12;0.010279298692920073;0.06647712968089066;157.42434782608694;720.6293534363132;MALT1
gs_ind_0;Positive Regulation of T-helper Cell Differentiation (GO:0045624);1/14;0.011983001916727071;0.06647712968089066;134.08444444444444;593.2252675002347;MALT1
gs_ind_0;Positive Regulation of Myeloid Cell Apoptotic Process (GO:0033034);1/8;0.006863753899441254;0.06647712968089066;241.448;1202.7733982168293;PIK3CB
gs_ind_0;Positive Regulation of Leukocyte Apoptotic Process (GO:2000108);1/10;0.008572884005555103;0.06647712968089066;190.59157894736842;907.0541187065593;PIK3CB
gs_ind_0;Regulation of Neurofibrillary Tangle Assembly (GO:1902996);1/6;0.005151904414143408;0.06647712968089066;329.2909090909091;1734.8325517230178;PPP2CB
gs_ind_0;Regulation of Smooth Muscle Cell Differentiation (GO:0051150);1/12;0.010279298692920073;0.06647712968089066;157.42434782608694;720.6293534363132;EREG
gs_ind_0;Response to Lead Ion (GO:0010288);1/7;0.006008169326922546;0.06647712968089066;278.6123076923077;1425.0003108779026;PPP2CB
gs_ind_0;Regulation of Triglyceride Catabolic Process (GO:0010896);1/11;0.009426430529258926;0.06647712968089066;172.42857142857142;804.247856669353;APOC1
gs_ind_0;Regulation of T-helper 17 Cell Differentiation (GO:2000319);1/11;0.009426430529258926;0.06647712968089066;172.42857142857142;804.247856669353;MALT1
gs_ind_0;Regulation of Receptor-Mediated Endocytosis (GO:0048259);2/46;0.0006922921188193496;0.06647712968089066;73.53932584269663;535.0355530173337;"PIK3CB;APOC1"
gs_ind_0;Regulation of Sister Chromatid Cohesion (GO:0007063);1/10;0.008572884005555103;0.06647712968089066;190.59157894736842;907.0541187065593;RAD21
gs_ind_0;Sphingosine-1-phosphate Receptor Signaling Pathway (GO:0003376);1/10;0.008572884005555103;0.06647712968089066;190.59157894736842;907.0541187065593;PIK3CB
gs_ind_0;Very-low-density Lipoprotein Particle Assembly (GO:0034379);1/11;0.009426430529258926;0.06647712968089066;172.42857142857142;804.247856669353;APOC1
gs_ind_0;Regulation of Inclusion Body Assembly (GO:0090083);1/14;0.011983001916727071;0.06647712968089066;134.08444444444444;593.2252675002347;PPP2CB
gs_ind_0;G Protein-Coupled Dopamine Receptor Signaling Pathway (GO:0007212);1/16;0.013683997626929;0.07246298743351039;116.76774193548387;501.1120556483531;GNAL
gs_ind_0;Regulation of Clathrin-Dependent Endocytosis (GO:2000369);1/16;0.013683997626929;0.07246298743351039;116.76774193548387;501.1120556483531;PIK3CB
gs_ind_0;Negative Regulation of Metabolic Process (GO:0009892);1/18;0.015382289768247083;0.07625688331918234;103.40914285714285;431.6854425649823;APOC1
gs_ind_0;Negative Regulation of Fatty Acid Biosynthetic Process (GO:0045717);1/18;0.015382289768247083;0.07625688331918234;103.40914285714285;431.6854425649823;APOC1
gs_ind_0;Positive Regulation of Rac Protein Signal Transduction (GO:0035022);1/18;0.015382289768247083;0.07625688331918234;103.40914285714285;431.6854425649823;PIK3CB
gs_ind_0;Positive Regulation of Phosphate Metabolic Process (GO:0045937);1/20;0.01707788228017703;0.07689369849079547;92.79076923076923;377.65574787157635;EREG
gs_ind_0;Meiotic Sister Chromatid Cohesion (GO:0051177);1/19;0.01623042323187104;0.07689369849079547;97.81297297297297;403.074332767654;RAD21
gs_ind_0;Negative Regulation of Receptor-Mediated Endocytosis (GO:0048261);1/24;0.02046098414776532;0.07689369849079547;76.97617021276595;299.3784475759519;APOC1
gs_ind_0;Negative Regulation of Lipid Catabolic Process (GO:0050995);1/22;0.0187707790969953;0.07689369849079547;84.14790697674418;334.5261267918717;APOC1
gs_ind_0;Negative Regulation of Stress Fiber Assembly (GO:0051497);1/23;0.019616217847773336;0.07689369849079547;80.40266666666666;316.09493226898576;RHPN2
gs_ind_0;Phosphatidylinositol-mediated Signaling (GO:0048015);1/24;0.02046098414776532;0.07689369849079547;76.97617021276595;299.3784475759519;PIK3CB
gs_ind_0;Positive Regulation of DNA Replication (GO:0045740);1/23;0.019616217847773336;0.07689369849079547;80.40266666666666;316.09493226898576;EREG
gs_ind_0;Cholesterol Efflux (GO:0033344);1/24;0.02046098414776532;0.07689369849079547;76.97617021276595;299.3784475759519;APOC1
gs_ind_0;Carbohydrate Derivative Transport (GO:1901264);1/24;0.02046098414776532;0.07689369849079547;76.97617021276595;299.3784475759519;HMMR
