Gene_set;Term;Overlap;P-value;Adjusted P-value;Odds Ratio;Combined Score;Genes
gs_ind_0;RNA Transport (GO:0050658);2/42;0.00040831493329790506;0.009799558399149722;97.85250162443145;763.5892356138228;"HNRNPA2B1;HNRNPA1"
gs_ind_0;RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377);3/203;0.0003641043465418299;0.009799558399149722;30.59894381692827;242.28458106003026;"HNRNPA3;HNRNPA2B1;HNRNPA1"
gs_ind_0;Positive Regulation of Telomere Maintenance via Telomere Lengthening (GO:1904358);2/26;0.00015510850793380116;0.009799558399149722;161.9280343716434;1420.3332345557158;"HNRNPA2B1;HNRNPA1"
gs_ind_0;MRNA Splicing, via Spliceosome (GO:0000398);3/242;0.0006087784792295427;0.01095801262613177;25.549183347660566;189.1675868544356;"HNRNPA3;HNRNPA2B1;HNRNPA1"
gs_ind_0;MRNA Processing (GO:0006397);3/277;0.0009016930861427044;0.012984380440454942;22.239044251580413;155.92319555865245;"HNRNPA3;HNRNPA2B1;HNRNPA1"
gs_ind_0;RNA Export From Nucleus (GO:0006405);2/76;0.0013334346417670955;0.01600121570120515;53.07488519957612;351.35559290246687;"HNRNPA2B1;HNRNPA1"
gs_ind_0;Cellular Response to Salt (GO:1902075);1/5;0.0036351581118458107;0.029081264894766486;479.22222222222223;2691.8404248656607;HNRNPA1
gs_ind_0;Cellular Response to Sodium Arsenite (GO:1903936);1/5;0.0036351581118458107;0.029081264894766486;479.22222222222223;2691.8404248656607;HNRNPA1
gs_ind_0;Response to Sodium Arsenite (GO:1903935);1/5;0.0036351581118458107;0.029081264894766486;479.22222222222223;2691.8404248656607;HNRNPA1
gs_ind_0;Linoleic Acid Metabolic Process (GO:0043651);1/19;0.01374978427227284;0.041249352816818526;116.45945945945945;499.23050837055763;FADS2
gs_ind_0;DNA Conformation Change (GO:0071103);1/18;0.013030418688226356;0.041249352816818526;123.12244897959184;534.4091429245366;HNRNPA2B1
gs_ind_0;GTP Metabolic Process (GO:0046039);1/16;0.011590256326660149;0.041249352816818526;139.02764976958525;619.7283316403912;IMPDH2
gs_ind_0;DNA Geometric Change (GO:0032392);1/8;0.005810482508555513;0.041249352816818526;287.4761904761905;1479.9537796804177;HNRNPA2B1
gs_ind_0;Dendrite Self-Avoidance (GO:0070593);1/15;0.010869458979775592;0.041249352816818526;148.6256157635468;672.0550642696414;EMB
gs_ind_0;Alpha-linolenic Acid Metabolic Process (GO:0036109);1/10;0.007258299183447455;0.041249352816818526;226.9248120300752;1117.7430666168282;FADS2
gs_ind_0;Macromolecule Biosynthetic Process (GO:0009059);2/243;0.01287400166258715;0.041249352816818526;16.191021030837966;70.47215372387174;"EEF1G;PABPC4"
gs_ind_0;Nucleic Acid Transport (GO:0050657);1/9;0.006534630614263755;0.041249352816818526;253.6386554621849;1275.9646281703958;HNRNPA2B1
gs_ind_0;Primary miRNA Processing (GO:0031053);1/14;0.010148183808995178;0.041249352816818526;159.64550264550263;732.8463778208315;HNRNPA2B1
gs_ind_0;Purine Ribonucleoside Triphosphate Biosynthetic Process (GO:0009206);1/14;0.010148183808995178;0.041249352816818526;159.64550264550263;732.8463778208315;IMPDH2
gs_ind_0;Unsaturated Fatty Acid Biosynthetic Process (GO:0006636);1/17;0.012310576134557777;0.041249352816818526;130.5930735930736;574.2564703614988;FADS2
gs_ind_0;Translation (GO:0006412);2/251;0.013693864313148079;0.041249352816818526;15.66343212741272;67.20877058855014;"EEF1G;PABPC4"
gs_ind_0;Translational Elongation (GO:0006414);1/17;0.012310576134557777;0.041249352816818526;130.5930735930736;574.2564703614988;EEF1G
gs_ind_0;Regulation of Telomere Maintenance via Telomere Lengthening (GO:1904356);1/19;0.01374978427227284;0.041249352816818526;116.45945945945945;499.23050837055763;HNRNPA2B1
gs_ind_0;Cellular Response to Arsenic-Containing Substance (GO:0071243);1/14;0.010148183808995178;0.041249352816818526;159.64550264550263;732.8463778208315;HNRNPA1
gs_ind_0;Negative Regulation of Telomere Maintenance via Telomerase (GO:0032211);1/22;0.01590502205048648;0.04580646350540107;100.18936877076412;414.8962356130511;HNRNPA1
gs_ind_0;Positive Regulation of Telomere Maintenance via Telomerase (GO:0032212);1/23;0.016622482599097595;0.04603149027442411;95.73015873015873;392.2063766987415;HNRNPA1
