pathway;pathway_padj;gene;log2FC;gene_padj;direction
RNA Transport (GO:0050658);0.009799558399149722;HNRNPA2B1;0.2369760477820392;0.0466909810198409;up
RNA Transport (GO:0050658);0.009799558399149722;HNRNPA1;0.3817515573077957;0.0466909810198409;up
RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377);0.009799558399149722;HNRNPA3;0.2806738122483567;0.0054995987986593;up
RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377);0.009799558399149722;HNRNPA2B1;0.2369760477820392;0.0466909810198409;up
RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377);0.009799558399149722;HNRNPA1;0.3817515573077957;0.0466909810198409;up
Positive Regulation of Telomere Maintenance via Telomere Lengthening (GO:1904358);0.009799558399149722;HNRNPA2B1;0.2369760477820392;0.0466909810198409;up
Positive Regulation of Telomere Maintenance via Telomere Lengthening (GO:1904358);0.009799558399149722;HNRNPA1;0.3817515573077957;0.0466909810198409;up
MRNA Splicing, via Spliceosome (GO:0000398);0.01095801262613177;HNRNPA3;0.2806738122483567;0.0054995987986593;up
MRNA Splicing, via Spliceosome (GO:0000398);0.01095801262613177;HNRNPA2B1;0.2369760477820392;0.0466909810198409;up
MRNA Splicing, via Spliceosome (GO:0000398);0.01095801262613177;HNRNPA1;0.3817515573077957;0.0466909810198409;up
MRNA Processing (GO:0006397);0.012984380440454942;HNRNPA3;0.2806738122483567;0.0054995987986593;up
MRNA Processing (GO:0006397);0.012984380440454942;HNRNPA2B1;0.2369760477820392;0.0466909810198409;up
MRNA Processing (GO:0006397);0.012984380440454942;HNRNPA1;0.3817515573077957;0.0466909810198409;up
RNA Export From Nucleus (GO:0006405);0.01600121570120515;HNRNPA2B1;0.2369760477820392;0.0466909810198409;up
RNA Export From Nucleus (GO:0006405);0.01600121570120515;HNRNPA1;0.3817515573077957;0.0466909810198409;up
Cellular Response to Salt (GO:1902075);0.029081264894766486;HNRNPA1;0.3817515573077957;0.0466909810198409;up
Cellular Response to Sodium Arsenite (GO:1903936);0.029081264894766486;HNRNPA1;0.3817515573077957;0.0466909810198409;up
Response to Sodium Arsenite (GO:1903935);0.029081264894766486;HNRNPA1;0.3817515573077957;0.0466909810198409;up
Linoleic Acid Metabolic Process (GO:0043651);0.041249352816818526;FADS2;0.5139006925109145;0.0466909810198409;up
DNA Conformation Change (GO:0071103);0.041249352816818526;HNRNPA2B1;0.2369760477820392;0.0466909810198409;up
GTP Metabolic Process (GO:0046039);0.041249352816818526;IMPDH2;0.5380134949299472;0.0466909810198409;up
DNA Geometric Change (GO:0032392);0.041249352816818526;HNRNPA2B1;0.2369760477820392;0.0466909810198409;up
Dendrite Self-Avoidance (GO:0070593);0.041249352816818526;EMB;0.8917749657516628;0.0466909810198409;up
Alpha-linolenic Acid Metabolic Process (GO:0036109);0.041249352816818526;FADS2;0.5139006925109145;0.0466909810198409;up
Macromolecule Biosynthetic Process (GO:0009059);0.041249352816818526;EEF1G;0.2911455716188671;0.0487418614412815;up
Macromolecule Biosynthetic Process (GO:0009059);0.041249352816818526;PABPC4;0.6777002760884543;0.0487418614412815;up
Nucleic Acid Transport (GO:0050657);0.041249352816818526;HNRNPA2B1;0.2369760477820392;0.0466909810198409;up
Primary miRNA Processing (GO:0031053);0.041249352816818526;HNRNPA2B1;0.2369760477820392;0.0466909810198409;up
Purine Ribonucleoside Triphosphate Biosynthetic Process (GO:0009206);0.041249352816818526;IMPDH2;0.5380134949299472;0.0466909810198409;up
Unsaturated Fatty Acid Biosynthetic Process (GO:0006636);0.041249352816818526;FADS2;0.5139006925109145;0.0466909810198409;up
Translation (GO:0006412);0.041249352816818526;EEF1G;0.2911455716188671;0.0487418614412815;up
Translation (GO:0006412);0.041249352816818526;PABPC4;0.6777002760884543;0.0487418614412815;up
Translational Elongation (GO:0006414);0.041249352816818526;EEF1G;0.2911455716188671;0.0487418614412815;up
Regulation of Telomere Maintenance via Telomere Lengthening (GO:1904356);0.041249352816818526;HNRNPA2B1;0.2369760477820392;0.0466909810198409;up
Cellular Response to Arsenic-Containing Substance (GO:0071243);0.041249352816818526;HNRNPA1;0.3817515573077957;0.0466909810198409;up
Negative Regulation of Telomere Maintenance via Telomerase (GO:0032211);0.04580646350540107;HNRNPA1;0.3817515573077957;0.0466909810198409;up
Positive Regulation of Telomere Maintenance via Telomerase (GO:0032212);0.04603149027442411;HNRNPA1;0.3817515573077957;0.0466909810198409;up
Negative Regulation of DNA Biosynthetic Process (GO:2000279);0.04827088822242087;HNRNPA1;0.3817515573077957;0.0466909810198409;up
Gene Expression (GO:0010467);0.04827088822242087;HNRNPA2B1;0.2369760477820392;0.0466909810198409;up
Gene Expression (GO:0010467);0.04827088822242087;PABPC4;0.6777002760884543;0.0487418614412815;up
