Gene_set;Term;Overlap;P-value;Adjusted P-value;Odds Ratio;Combined Score;Genes
gs_ind_0;AMYOTROPHIC LATERAL SCLEROSIS;3/362;0.004176287482422133;0.04495053754024194;13.70704260968517;75.091738230124;"HNRNPA3;HNRNPA2B1;HNRNPA1"
gs_ind_0;SPLICEOSOME;2/144;0.008172825007316717;0.04495053754024194;21.48582995951417;103.28110946894158;"HNRNPA3;HNRNPA1"
gs_ind_0;BIOSYNTHESIS OF UNSATURATED FATTY ACIDS;1/27;0.026336734831346097;0.07242602078620176;60.95471698113207;221.67953886036386;FADS2
gs_ind_0;ALPHA-LINOLENIC ACID METABOLISM;1/26;0.025372234321025495;0.07242602078620176;63.35294117647059;232.76503102955516;FADS2
gs_ind_0;LEGIONELLOSIS;1/56;0.053946413421076866;0.0954738802585551;29.0;84.67315800596869;EEF1G
gs_ind_0;POLYCOMB REPRESSIVE COMPLEX;1/82;0.07811499293881782;0.0954738802585551;19.684662576687117;50.18748952490392;CBX6
gs_ind_0;PPAR SIGNALING PATHWAY;1/76;0.0725861175989438;0.0954738802585551;21.264900662251655;55.7774430157866;FADS2
gs_ind_0;DRUG METABOLISM - OTHER ENZYMES;1/81;0.07719552154416758;0.0954738802585551;19.93167701863354;51.053273264699165;IMPDH2
gs_ind_0;RNA DEGRADATION;1/78;0.07443229097339069;0.0954738802585551;20.710967741935484;53.80430676326692;PABPC4
gs_ind_0;MRNA SURVEILLANCE PATHWAY;1/102;0.09633685204210153;0.10597053724631168;15.766502463054188;36.89210775775575;PABPC4
gs_ind_0;PURINE METABOLISM;1/124;0.11601617782121638;0.11601617782121638;12.922267206477732;27.834894807291384;IMPDH2
