Gene_set;Term;Overlap;P-value;Adjusted P-value;Odds Ratio;Combined Score;Genes
gs_ind_0;Negative Regulation of Apoptotic Process (GO:0043066);13/497;1.8870660616084118e-05;0.015479194349656202;4.734723806420075;51.50386246477285;"ASNS;CAV1;PLAUR;KRT18;CCL2;SERPINB2;SPHK1;CLCF1;NGF;SERPINE1;HMGA2;SOCS3;ADAM8"
gs_ind_0;Cellular Response to Chemokine (GO:1990869);5/60;4.264240867673885e-05;0.015479194349656202;15.853206147323794;159.52544383748318;"STK39;SH2B3;CXCL17;GNAI1;CCL2"
gs_ind_0;Chemokine-mediated Signaling Pathway (GO:0070098);5/59;3.9289416278887435e-05;0.015479194349656202;16.145169994603346;163.78557114977386;"STK39;SH2B3;CXCL17;GNAI1;CCL2"
gs_ind_0;Regulation of Cell Migration (GO:0030334);11/484;0.00029516798566139315;0.0447710442301928;4.035703726052195;32.80206235169924;"CAV1;FLT1;CCL2;MYADM;SPHK1;GCNT2;CLDN1;KRT16;SERPINE1;LAMC2;TNC"
gs_ind_0;Lymphocyte Migration (GO:0072676);3/21;0.0003232515664789499;0.0447710442301928;29.704683741332957;238.73891052291646;"CXCL17;GNAI1;ADAM8"
gs_ind_0;Positive Regulation of Cell Population Proliferation (GO:0008284);11/486;0.0003057333267554929;0.0447710442301928;4.018176355715788;32.51828683142691;"TSPAN31;NES;CDK4;TIMP1;FLT1;CLCF1;SPHK1;GCNT2;LAMC2;HMGA2;FOSL1"
gs_ind_0;Positive Regulation of Cell Motility (GO:2000147);8/254;0.00024400112079958847;0.0447710442301928;5.626405029529434;46.8023372933883;"CAV1;FLT1;MYADM;SPHK1;GCNT2;CLDN1;LAMC2;CCL2"
gs_ind_0;Negative Regulation of Vascular Endothelial Cell Proliferation (GO:1905563);2/5;0.0004111207000017704;0.0447710442301928;111.09918578830496;866.1985463689351;"FLT1;CCL2"
gs_ind_0;Protein Localization to Plasma Membrane Raft (GO:0044860);2/5;0.0004111207000017704;0.0447710442301928;111.09918578830496;866.1985463689351;"CAV1;MYADM"
gs_ind_0;Negative Regulation of Receptor Signaling Pathway via STAT (GO:1904893);3/22;0.0003725344653486842;0.0447710442301928;28.17948717948718;222.48215176919646;"CAV1;SH2B3;SOCS3"
gs_ind_0;Negative Regulation of Receptor Signaling Pathway via JAK-STAT (GO:0046426);3/24;0.00048503312117452246;0.04801827899627772;25.554730305613052;195.01564416488026;"CAV1;SH2B3;SOCS3"
gs_ind_0;Monocyte Chemotaxis (GO:0002548);3/26;0.0006172365277484524;0.05601421489317206;23.376740559206862;172.7601499213114;"CXCL17;FLT1;CCL2"
gs_ind_0;Regulation of Blood Coagulation (GO:0030193);3/28;0.0007704452608334331;0.06453960684981605;21.54039626321733;154.41323422005206;"CAV1;PLAUR;SERPINE1"
gs_ind_0;Protein Localization to Membrane Raft (GO:1903044);2/7;0.0008560666574793343;0.06658975642821394;70.69006123410269;499.2953764807505;"CAV1;MYADM"
gs_ind_0;Maintenance of Lens Transparency (GO:0036438);2/8;0.0011365986419248541;0.08251706140374442;59.81068154643284;405.49938225468;"GCNT2;STK39"
gs_ind_0;Negative Regulation of Binding (GO:0051100);3/33;0.0012533753789227054;0.08530786172792663;18.003175693073555;120.29569085975622;"HMGA2;SLPI;NES"
