Gene Symbol;Pathways;LFC_Female_Healthy;padj_Female_Healthy;LFC_Female_Mutant;padj_Female_Mutant;LFC_Male_Healthy;padj_Male_Healthy;LFC_Male_Mutant;padj_Male_Mutant
ADAM8;Lymphocyte Migration | Negative Regulation of Apoptotic Process;-0.4740927678834806;0.7494256311814512;3.054957596290496;;1.536991579244391;0.2470856923154201;-4.23708868324944;0.2359164046295143
ASNS;Negative Regulation of Apoptotic Process;0.3817528939188306;0.7359965481361289;1.0281001801902108;;1.6719407811570437;0.2722469616290862;-2.612127652997882;0.2359164046295143
CAV1;Negative Regulation of Apoptotic Process | Negative Regulation of Receptor Signaling Pathway via JAK-STAT | Negative Regulation of Receptor Signaling Pathway via STAT | Positive Regulation of Cell Motility | Protein Localization to Plasma Membrane Raft | Regulation of Cell Migration;0.0480259360422658;0.9350048789026122;0.3710900394863959;0.4611837389363851;0.2243146983126233;0.5524187219502015;-0.6047122826357069;0.4130778640217524
CCL2;Cellular Response to Chemokine | Chemokine-mediated Signaling Pathway | Negative Regulation of Apoptotic Process | Negative Regulation of Vascular Endothelial Cell Proliferation | Positive Regulation of Cell Motility | Regulation of Cell Migration;-1.3298213229365494;;0.6720858846757194;;5.720426132985694;;-4.449269988815235;
CDK4;Positive Regulation of Cell Population Proliferation;0.1764983530341668;0.5553956398395651;0.3524969665055539;0.4611837389363851;0.4138698173475275;0.0967059249871001;-0.4846644064535413;0.4638000859021055
CLCF1;Negative Regulation of Apoptotic Process | Positive Regulation of Cell Population Proliferation;0.1484702252068531;0.894842555656907;0.407652347093016;;0.9845903820792548;0.1437766377476202;-1.8279234905758364;
CLDN1;Positive Regulation of Cell Motility | Regulation of Cell Migration;0.069941197236187;0.9607798356635964;0.7902570915220836;;0.1019650362278852;0.9481713006475272;-1.8713923979632392;0.1869273744159561
CXCL17;Cellular Response to Chemokine | Chemokine-mediated Signaling Pathway | Lymphocyte Migration;-1.0284028827241396;;2.435288496626009;;-0.1179037773029249;0.9925080952765872;-6.843140732093335;
FLT1;Negative Regulation of Vascular Endothelial Cell Proliferation | Positive Regulation of Cell Motility | Positive Regulation of Cell Population Proliferation | Regulation of Cell Migration;-0.4645117941230955;;4.558629883284862;;0.5529809861976749;0.9269234726101232;-1.50010325284792;
FOSL1;Positive Regulation of Cell Population Proliferation;-0.7952062832882474;;2.2007513086727517;;5.177265614710319;0.0751474701639077;-6.349977019174759;0.1815719883172805
GCNT2;Positive Regulation of Cell Motility | Positive Regulation of Cell Population Proliferation | Regulation of Cell Migration;-1.211657888294869;;1.91991631574917;;1.1371724561791976;0.6623719406960524;-3.795531635015701;0.2830323722889142
GNAI1;Cellular Response to Chemokine | Chemokine-mediated Signaling Pathway | Lymphocyte Migration;-0.3130589898590425;;2.7830402303542723;;0.3569673737829918;0.9437817721845092;-3.13937591260362;0.2729347229687692
HMGA2;Negative Regulation of Apoptotic Process | Positive Regulation of Cell Population Proliferation;0.3057694257826807;;1.248735458427057;;2.1515581590619424;0.1206270136992019;-5.333066449872553;
