Term;NES_BIMplusBAK;FDR_BIMplusBAK;NES_BIMminusPF;FDR_BIMminusPF
CENP-A containing chromatin organization (GO:0061641);-2.230433607877063;0.0001241369700877;;
CENP-A containing nucleosome assembly (GO:0034080);-2.230433607877063;0.0001241369700877;;
DNA replication (GO:0006260);;;-2.1253340359472714;0.0178005411731292
DNA replication initiation (GO:0006270);;;-1.976738300403895;0.0286840242273523
DNA replication-independent nucleosome assembly (GO:0006336);-1.9991193265646237;0.0057475417150633;;
DNA strand elongation (GO:0022616);;;-1.9281470618297265;0.0374051912489405
DNA strand elongation involved in DNA replication (GO:0006271);;;-1.931225990639924;0.036775423604208
DNA-dependent DNA replication (GO:0006261);-1.9954096979121607;0.0059652695918128;;
G1/S transition of mitotic cell cycle (GO:0000082);;;-2.14039306929301;0.0178005411731292
G2/M transition of mitotic cell cycle (GO:0000086);-1.8485540203588977;0.0334147514777412;;
NADH dehydrogenase complex assembly (GO:0010257);-2.036197318844269;0.0033864565439941;;
NIK/NF-kappaB signaling (GO:0038061);-1.9177540563440885;0.0160087036625178;;
RNA export from nucleus (GO:0006405);-1.8938646667597132;0.0211512274688845;;
RNA splicing (GO:0008380);-1.90468293293904;0.0189512818691838;;
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377);-2.207514401313638;0.0001285182749143;;
SRP-dependent cotranslational protein targeting to membrane (GO:0006614);-2.8979252408257192;0.0;;
actin-myosin filament sliding (GO:0033275);-1.9018478219924424;0.0193470734644148;;
aerobic electron transport chain (GO:0019646);-2.3049958599537024;3.6413511225743614e-05;;
aerobic respiration (GO:0009060);-1.8902498960288727;0.0214384547341565;;
anaphase-promoting complex-dependent catabolic process (GO:0031145);-2.380689880819788;0.0;;
antigen processing and presentation of endogenous peptide antigen (GO:0002483);2.1774184094009947;0.0173485537413946;;
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590);-2.1352745244076337;0.0006827533354826;;
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479);-2.2250737282342725;0.0001187397105187;;
atrioventricular valve development (GO:0003171);;;-1.896028441069881;0.0483710357965468
attachment of mitotic spindle microtubules to kinetochore (GO:0051315);-1.9666277770196745;0.0089600480282069;;
