Name;Term;ES;NES;NOM p-val;FDR q-val;FWER p-val;Tag %;Gene %;Lead_genes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prerank;regulation of neurotransmitter receptor activity (GO:0099601);6.041649e-01;2.498025e+00;0.000000e+00;0.000000e+00;0.000000e+00;21/35;20.26%;DAPK1;DLG2;GSG1L;AKAP9;SLURP2;DLG3;SHANK1;PSCA;CAMK2B;BEGAIN;MAPK8IP2;DLGAP3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prerank;intraciliary transport involved in cilium assembly (GO:0035735);6.014203e-01;2.438186e+00;0.000000e+00;1.182708e-03;3.000000e-03;17/39;13.40%;IFT122;DYNLL2;KIF3A;IFT20;IFT140;WDR35;WDR19;DYNC2I1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prerank;non-motile cilium assembly (GO:1905515);6.042645e-01;2.228785e+00;0.000000e+00;1.734638e-02;5.900000e-02;16/27;20.21%;IFT122;CEP290;RPGRIP1;BBS10;TBC1D32;VANGL2;RPGRIP1L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prerank;intraciliary retrograde transport (GO:0035721);7.279830e-01;2.226005e+00;0.000000e+00;1.340402e-02;6.100000e-02;août-13;13.40%;IFT122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prerank;peroxisome organization (GO:0007031);6.225742e-01;2.172179e+00;0.000000e+00;2.491571e-02;1.360000e-01;15/24;22.93%;LONP2;PEX16;ABCD4;PLAAT3;PEX11A;FIS1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prerank;regulation of plasminogen activation (GO:0010755);-8.695184e-01;-2.146334e+00;0.000000e+00;3.003841e-02;2.400000e-02;08-oct;11.97%;SERPINE1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prerank;G1/S transition of mitotic cell cycle (GO:0000082);-5.347817e-01;-2.140393e+00;0.000000e+00;1.780054e-02;2.800000e-02;42/75;24.55%;CDK4;PPP6C;PCNA;CDK2;CACUL1;CDC25A;TFDP1;E2F3;ACVR1;MAX;E2F1;FBXO5;CDT1;DHFR;POLE;POLA1;CDC6;KHDRBS1;CDK16;TYMS;CDC7;HINFP;CDC45;CDK6;NASP;BRD4;KLF11;TFDP2;DBF4;CRLF3;RRM2;CCNE2;CUL3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prerank;DNA replication (GO:0006260);-5.072469e-01;-2.125334e+00;0.000000e+00;1.780054e-02;4.200000e-02;65/105;27.69%;NAP1L1;POLA2;ORC6;RAD9A;RPA2;POLE3;POLD4;RMI2;DNA2;RFC4;GRWD1;TOPBP1;TICRR;RFC3;DUT;BLM;POLD2;POLD1;CHEK1;POLE;TIPIN;POLA1;BARD1;CDC6;TIMELESS;MCM4;MCM3;CLSPN;BRIP1;EXO1;CDC7;RNASEH2A;RFC5;RFC2;MCM7;CDC45;MCM5;PCLAF;FEN1;DBF4;MCM6;MCM10;TOP3A;RAD1;ORC5;IGHMBP2;CDK1;TREX1;FAM111A;BRCA1;ORC1;WRNIP1;NBN;RPAIN;RPA3;RMI1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prerank;regulation of intrinsic apoptotic signaling pathway (GO:2001242);-5.736861e-01;-2.124160e+00;0.000000e+00;1.335041e-02;4.200000e-02;20/46;18.12%;PLAUR;HERPUD1;BECN1;MCL1;BCL2L11;MMP9;BID;PPIF;BAX;RACK1;NOC2L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prerank;cilium organization (GO:0044782);3.823848e-01;2.113723e+00;0.000000e+00;4.507431e-02;2.600000e-01;72/193;19.98%;IFT122;IFT80;DYNC2H1;IFT88;TTC8;CDC14B;EXOC7;NEK1;PCM1;RAB11FIP3;CFAP54;PARVA;DYNLL2;CEP19;EXOC2;BBS7;SNAP29;NPHP3;CCDC57;OCRL;UNC119B;KIF3A;CEP126;ARMC9;BBS9;ARL6;IFT20;B9D2;TMEM237;CCDC66;TMEM216;PIBF1;CEP89;BBS1;EXOC3;IQCB1;AHI1;IFT140;PKHD1;TTC36;CEP290;OFD1;WDR35;ABLIM1;IQCG;MKS1;WDR19;DYNC2I1;CEP20;CFAP43;INTU;CEP162;TCTN2;WDR11;CEP164;IFT52;ARL3;GSN;RPGR;CEP131;SNX10;ARMC2;TXNDC15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
