;Name;Term;ES;NES;NOM p-val;FDR q-val;FWER p-val;Tag %;Gene %;Lead_genes
0;prerank;DNA Replication (GO:0006260);-0.5788904273023803;-2.592429152425132;0.0;0.0;0.0;52/102;18.25%;"PCLAF;POLA1;HELB;MCM7;NAP1L1;MCM5;MCM6;MCM2;SHMT1;MCM3;BRCA1;TBRG1;POLD3;POLE;RFC2;MCM4;CHEK1;GINS2;GINS1;RFC5;CDC45;POLE2;GINS4;CHTF18;DSCC1;DHFR;POLA2;POLL;POLD1;RPA1;POLE3;MCM8;RPA2;BLM;TOP1MT;DNA2;RECQL4;ASCC3;FEN1;TICRR;FAM111A;WDHD1;RECQL;ASCC2;MCMBP;TYMS;DONSON;CDK2;RFC1;RAD18;POLD2;PNKP"
1;prerank;Double-strand Break Repair via Homologous Recombination (GO:0000724);-0.57133324767271;-2.5260456604276444;0.0;0.0;0.0;48/110;13.91%;"RAD51AP1;MCM7;MCM5;RAD54L;RMI2;MCM6;MCM2;BRCA2;RAD54B;NABP2;UHRF1;MCM3;BRCA1;HELLS;SAMHD1;MMS22L;TOPBP1;MCM4;GINS2;ZFYVE26;CDC45;RAD51;FANCM;INTS3;GINS4;PSMD14;POLL;TONSL;RAD50;RPA1;ASTE1;MCM8;RAD51C;RPA2;BLM;CDC7;NSMCE4A;GEN1;RECQL4;WDR48;FEN1;SLF1;PALB2;RECQL;XRCC2;RFWD3;ZMYND8;SMC5"
2;prerank;Carbohydrate Catabolic Process (GO:0016052);-0.7107383453346766;-2.4153952702855372;0.0;0.0;0.0;17/29;13.61%;"PKM;LDHA;PGK1;TPI1;PGM1;PFKL;ALDOC;UCP2;MAN2B2;PFKFB4;PFKFB1;GAPDH;PFKM;HK1;CTBS;MANBA;ALDOA"
3;prerank;ADP Catabolic Process (GO:0046032);-0.7673050331879704;-2.3986440991538722;0.0;0.0;0.0;13/21;10.04%;"PKM;LDHA;PGK1;TPI1;PGM1;PFKL;ALDOC;UCP2;PFKFB4;PFKFB1;GAPDH;PFKM;HK1"
4;prerank;Glycolytic Process (GO:0006096);-0.7673050331879704;-2.3986440991538722;0.0;0.0;0.0;13/21;10.04%;"PKM;LDHA;PGK1;TPI1;PGM1;PFKL;ALDOC;UCP2;PFKFB4;PFKFB1;GAPDH;PFKM;HK1"
5;prerank;Nicotinamide Nucleotide Metabolic Process (GO:0046496);-0.6802062989620573;-2.3578026061927355;0.0;0.0;0.0;18/31;13.61%;"PKM;LDHA;PGK1;TPI1;PGM1;PFKL;ALDOC;UCP2;IDH1;PFKFB4;NADK2;PFKFB1;GAPDH;PFKM;HK1;IDH2;GPD1L;ALDOA"
6;prerank;Negative Regulation of Viral Genome Replication (GO:0045071);-0.6667944246805402;-2.3391107978659234;0.0;0.0;0.0;18/32;15.04%;"IFITM1;PLSCR1;IFITM3;TRIM6;IFIH1;OAS3;ZNFX1;BST2;IFIT1;EIF2AK2;OAS2;RSAD2;ISG15;PROX1;FAM111A;TNIP1;ZC3HAV1;TNF"
7;prerank;ATP Metabolic Process (GO:0046034);-0.6200199912024267;-2.3380431209203283;0.0;0.0;0.0;27/45;18.38%;"PKM;LDHA;PGK1;TPI1;PGM1;PFKL;OLA1;ALDOC;SLC25A13;UCP2;HSPA1A;PARP1;PFKFB4;PRKAG2;PFKFB1;GAPDH;HSPA1B;PFKM;HK1;FIGNL1;NT5E;ALDOA;NUDT5;ATP1A2;TGFB1;CLPX;NADK"
8;prerank;Mismatch Repair (GO:0006298);-0.7055461046669773;-2.319680784941461;0.0;0.0;0.0;12/25;10.93%;"LIG1;POLD3;EXO1;RPA1;ABL1;RNASEH2B;MCM8;MSH3;RPA2;PCNA;PMS1;MSH6"
9;prerank;DNA Metabolic Process (GO:0006259);-0.4496663398130123;-2.290852298333626;0.0;0.00019948597528493078;0.001;104/303;16.43%;"MBD4;APOBEC1;PRIM2;PCLAF;RAD51AP1;POLA1;HELB;MCM10;MCM7;NAP1L1;MCM5;RAD54L;RMI2;MCM6;LIG1;RRM1;MCM2;MACROH2A1;NABP2;SHMT1;MCM3;BRCA1;SAMHD1;TBRG1;POLD3;RRM2;TOPBP1;POLE;RFC2;ZRANB3;MNAT1;MCM4;CHEK1;GINS2;GINS1;RFC5;TIMELESS;CDC45;RAD51;POLE2;PSMA6;INTS3;GINS4;SMARCAL1;SMC1A;CHTF18;DSCC1;DHFR;ERCC6L;POLA2;EXO1;MEN1;POLL;POLD1;CTC1;NUDT15;RAD50;PSMA5;PARP1;ORC1;RPA1;POLE3;MCM8;MSH3;CDC6;RAD51C;SP100;OGG1;RPA2;BLM;KMT5C;NSMCE4A;TOP1MT;GEN1;MSH6;XRCC6;DNA2;RECQL4;RTEL1;NME7;ASCC3;FEN1;TICRR;FAM111A;WDHD1;USP3;RECQL;NME5;XRCC2;FBXO4;BARD1;ASCC2;MAD2L2;RAN;TYMS;REV1;DCLRE1C;FBH1;BRIP1;DONSON;TOP2A;CDK2;HLTF;TTF2"
