;Name;Term;ES;NES;NOM p-val;FDR q-val;FWER p-val;Tag %;Gene %;Lead_genes
0;prerank;DNA REPLICATION;-0.7187579431796922;-2.5355662128017586;0.0;0.0;0.0;19/34;12.05%;"PRIM2;POLA1;MCM7;MCM5;MCM6;MCM3;POLD3;POLE;RFC2;MCM4;RFC5;POLE2;POLA2;POLD1;POLE3;RNASEH2B;PCNA;DNA2;FEN1"
1;prerank;STEROID BIOSYNTHESIS;-0.7509919254601656;-2.1501043028186886;0.0;0.0019805082886778856;0.004;8/15;13.16%;"CYP24A1;SOAT1;TM7SF2;LMBR1;NSDHL;SQLE;CYP2R1;FDFT1"
2;prerank;HOMOLOGOUS RECOMBINATION;-0.6001862448180894;-2.1469331806967684;0.0;0.0013203388591185902;0.004;22/38;22.23%;"RAD54L;BRCA2;RAD54B;BRCA1;POLD3;BABAM1;TOPBP1;RAD51;POLD1;RAD50;RAD51C;BLM;PALB2;XRCC2;BARD1;BRIP1;SEM1;POLD2;RBBP8;RAD51D;ATM;EME1"
3;prerank;NECROPTOSIS;-0.46211997900138496;-2.05196716141859;0.0;0.003713453041271035;0.013;53/112;23.70%;"BID;MLKL;MACROH2A1;JAK3;ZBP1;CHMP4B;TNFRSF1A;BIRC3;CAPN1;STAT2;CHMP5;TLR3;TYK2;STAT1;IRF9;AIFM1;TRAF5;PARP1;EIF2AK2;H2AZ1;TNFSF10;SLC25A5;VDAC1;TICAM1;TRADD;TLR4;CAPN2;RIPK3;JAK2;IFNGR2;FADD;SLC25A31;CHMP6;CHMP1B;DNM1L;HSP90AB1;TNFAIP3;TNF;RNF31;FASN;VPS4B;PLA2G4B;RBCK1;BIRC2;GLUL;SMPD1;H2AJ;IL1A;CYBB;TANK;PYGB;CAMK2B;PYGL"
4;prerank;BASE EXCISION REPAIR;-0.5601958326980291;-2.028771472658483;0.0;0.003564914919620193;0.016;13/41;9.37%;"MBD4;POLD3;POLE;RFC2;RFC5;POLE2;POLL;POLD1;PARP1;POLE3;OGG1;PCNA;UNG"
5;prerank;INFLUENZA A;-0.447475676360997;-2.0121315701726314;0.0;0.0036309318625761225;0.02;41/108;16.21%;"BID;BAK1;NLRX1;TNFRSF1A;FDPS;STAT2;TLR3;IRF7;IFIH1;TYK2;STAT1;OAS3;IRF9;HNRNPUL1;CASP3;EIF2AK2;OAS2;TNFSF10;SLC25A5;VDAC1;RSAD2;TICAM1;TRADD;PML;TLR4;NXT2;IKBKE;XPO1;TMPRSS4;MAP2K1;JAK2;AKT3;IFNGR2;FADD;TBK1;ADAR;SLC25A31;TNF;IRAK4;FASN;NFKB1"
6;prerank;GLYCOLYSIS / GLUCONEOGENESIS;-0.5312845606377109;-2.004600985742556;0.0;0.0036780868218303587;0.024;16/44;10.21%;"PKM;LDHA;PGK1;TPI1;ACSS2;PGM1;ALDH3B2;PFKL;ALDH3B1;ALDOC;AKR1A1;ALDH9A1;ALDH3A1;GAPDH;PFKM;PFKP"
7;prerank;EPSTEIN-BARR VIRUS INFECTION;-0.42497740709524096;-1.996433892736979;0.0;0.0033421077371439314;0.024;55/147;18.49%;"BID;CDKN1B;BAK1;JAK3;LYN;HDAC1;ENTPD3;MAP2K6;STAT2;IRF7;TYK2;PSMD8;STAT1;OAS3;PSMD13;CCND2;IRF9;PSMD14;TRAF5;TAPBPL;TAPBP;CASP3;EIF2AK2;OAS2;E2F2;CCNA2;TRADD;PSMC1;ISG15;E2F1;NCOR2;B2M;BCL2L11;IKBKE;PSMC3;CALR;PDIA3;AKT3;FADD;PSMD2;CCNE2;TBK1;RB1;TNFAIP3;TNF;MAP3K14;PSMD11;IRAK4;FASN;CDK2;NFKB1;AKT2;SEM1;TLR2;PLCG2"
8;prerank;MEASLES;-0.45470137903443236;-1.9866017147530355;0.0;0.0035209036243162408;0.029;34/97;18.04%;"BID;CDKN1B;EIF2AK1;BAK1;JAK3;STAT2;HSPA1A;IRF7;IFIH1;TYK2;STAT1;OAS3;CCND2;IRF9;CASP3;EIF2AK2;OAS2;TRADD;TLR4;IKBKE;HSPA1B;AKT3;FADD;CCNE2;TBK1;ADAR;TNFAIP3;IRAK4;FASN;CDK2;NFKB1;EIF2AK3;AKT2;TLR2"
9;prerank;HERPES SIMPLEX VIRUS 1 INFECTION;-0.43597825126216644;-1.9771164351675714;0.0;0.00396101657735577;0.037;47/125;18.04%;"BID;EIF2AK1;BAK1;TNFRSF1A;BIRC3;STAT2;TLR3;IRF7;IFIH1;TYK2;STAT1;OAS3;IRF9;TNFRSF14;TRAF5;TAPBPL;TAPBP;BST2;CASP3;PPP1CA;EIF2AK2;OAS2;DAXX;TICAM1;TRADD;PML;PPP1CB;SP100;B2M;IKBKE;CALR;PDIA3;JAK2;AKT3;IFNGR2;FADD;TBK1;ZC3HAV1;TNF;IRAK4;FASN;NFKB1;SRC;EIF2AK3;AKT2;TSC2;TLR2"
