;Name;Term;ES;NES;NOM p-val;FDR q-val;FWER p-val;Tag %;Gene %;Lead_genes
0;prerank;RIBOSOME;-0.7198741496145888;-3.241181061065704;0.0;0.0;0.0;100/149;15.74%;"MRPS26;RPL9;RPL19;RPS14;RPL32;UBA52;RPL35A;RPL7;RPS29;RPS27A;RPL36;RPL27;RPL8;MRPL34;RPS21;RPL6;RPL38;RPL3;MRPS21;RPS24;RPS9;RPS15A;RPS7;RPL22L1;RPL26;MRPS15;RPL30;RPL36AL;RPL35;MRPS18C;RPS18;RPL14;RPL29;RPL5;RPS27L;RPL10A;RPL7A;RPS15;RPS23;RPL27A;RPS12;RPL11;MRPS34;RPL37;RPL31;RPS10;MRPS11;RPS17;MRPS25;RPL36A;MRPS23;MRPL12;RPS25;MRPL30;MRPS10;MRPS35;MRPS16;MRPS18A;MRPS7;RACK1;RPS6;RPS5;RPL34;RPS19;RPS13;RPS11;MRPL18;MRPL47;RPL21;FAU;RPS3;RPLP2;RPS26;RPS8;MRPS18B;RPS4X;MRPL40;MRPS24;MRPL21;RPL15;MRPS33;RPSA;RPL37A;MRPL15;MRPL24;MRPL52;RPS28;RPL23A;MRPL23;MRPL46;MRPS9;MRPL53;RPL22;MRPL20;RPLP0;RPS16;MRPL42;MRPS22;RPS27;MRPL19"
1;prerank;PROTEASOME;-0.6590869843734566;-2.400623118627949;0.0;0.0;0.0;26/43;17.28%;"PSMD13;SEM1;PSMD4;PSMC5;PSMA7;PSMC3;PSMD3;PSMB3;PSMC1;PSMC6;PSMC2;PSMD6;PSMB6;PSMA2;PSMA6;PSMC4;PSMD14;PSME1;PSMD9;PSMD12;PSMF1;PSMB4;PSMD8;PSMD7;PSMB5;PSMA4"
2;prerank;CORONAVIRUS DISEASE - COVID-19;-0.5155971366665609;-2.336439008574644;0.0;0.0;0.0;66/173;12.09%;"RPL9;RPL19;RPS14;RPL32;UBA52;RPL35A;RPL7;RPS29;RPS27A;RPL36;RPL27;RPL8;RPS21;RPL6;RPL38;RPL3;RPS24;RPS9;RPS15A;RPS7;RPL22L1;RPL26;IL1B;RPL30;RPL36AL;RPL35;RPS18;RPL14;RPL29;RPL5;RPS27L;RPL10A;RPL7A;RPS15;RPS23;RPL27A;RPS12;RPL11;RPL37;PSMA7;RPL31;RPS10;RPS17;RPL36A;RPS25;RPS6;RPS5;RPL34;RPS19;RPS13;RPS11;RPL21;FAU;RPS3;RPLP2;RPS26;RPS8;IRF3;RPS4X;RPL15;C3;RPSA;RPL37A;TBK1;RPS28;RPL23A"
3;prerank;PARKINSON DISEASE;-0.4925717937562507;-2.292503029821055;0.0;0.0;0.0;97/213;21.64%;"CCNI;UBA52;NDUFA2;RPS27A;SOD1;TRAP1;PSMD13;NDUFB8;SEM1;TUBA8;PSMD4;PSMC5;VDAC2;COX6C;PSMA7;UQCR11;UQCRC2;NDUFB7;PSMC3;NDUFB10;PSMD3;PSMB3;PSMC1;PARK7;NDUFAB1;PSMC6;DDIT3;KLC1;NDUFA13;UQCRB;PSMC2;NDUFB9;PSMD6;NDUFS6;PSMB6;PSMA2;NDUFV2;UCHL1;PSMA6;NDUFS5;PSMC4;GNAS;MFN1;TUBB6;NDUFC2;PSMD14;COX7A2;TUBA1C;NDUFA11;NDUFA3;VDAC3;PTGS2;PSMD9;PSMD12;ATP5PB;PPIF;NDUFS2;TUBA4A;UQCRQ;CALM1;HTRA2;EIF2S1;COX7C;NDUFA8;PSMB4;PSMD8;NDUFA1;NDUFA10;NDUFS4;SLC39A13;SDHD;UQCRC1;NDUFB3;GNAI1;UQCRH;NDUFC1;NDUFA5;KIF5C;ATF4;PSMD7;PSMB5;CAMK2D;MAPK9;NDUFS7;PSMA4;NDUFA12;CAMK2G;CYCS;PSMD2;PRKCA;CALM2;DAXX;HSPA5;ITPR3;SLC39A2;GNAI2;TXN2"
4;prerank;SPLICEOSOME;-0.520371398322384;-2.2762398478206056;0.0;0.0;0.0;80/133;31.82%;"SNRPF;THOC7;SNRNP27;SART1;SRSF1;SNRPD3;SNRPA1;LSM4;SMNDC1;DDX23;LSM7;RBM17;SF3B2;SNRPB;PRPF38A;SNRNP70;RBM8A;HNRNPU;RBM22;SRSF3;SF3A3;DDX39B;SNRPC;DHX16;CCDC12;SNRPD2;U2AF1;PRPF31;SRSF9;RBMXL1;ALYREF;THOC5;TXNL4A;SNRPE;PPIE;SRSF7;PRPF38B;SNRPA;SNRNP40;SF3A2;HSPA8;PLRG1;TRA2B;PQBP1;SYF2;PCBP1;LSM8;TRA2A;HNRNPA1;SNIP1;PRPF3;SRSF10;BUD31;CRNKL1;HNRNPM;CTNNBL1;U2AF2;SNW1;SF3B5;BUD13;LSM6;THOC1;ZMAT2;GPKOW;LSM2;SF3B4;NCBP1;USP39;LSM3;PRPF6;THOC3;HNRNPA3;RP9;SNRPB2;BCAS2;SF1;RBMX2;CHERP;U2SURP;LSM5"
5;prerank;OXIDATIVE PHOSPHORYLATION;-0.5313559285763131;-2.193447427874478;0.0;0.0;0.0;40/93;14.95%;"CCNI;NDUFA2;NDUFB8;COX6C;UQCR11;ATP6V1G1;UQCRC2;NDUFB7;NDUFB10;NDUFAB1;NDUFA13;COX11;UQCRB;NDUFB9;NDUFS6;NDUFV2;NDUFS5;NDUFC2;COX17;COX7A2;NDUFA11;NDUFA3;PTGS2;ATP5PB;NDUFS2;UQCRQ;ATP6V1B2;COX7C;ATP6V0B;NDUFA8;NDUFA1;PPA1;NDUFA10;NDUFS4;SDHD;UQCRC1;NDUFB3;UQCRH;NDUFC1;NDUFA5"
6;prerank;PRION DISEASE;-0.47851961601199894;-2.1886340192006757;0.0;0.0;0.0;90/206;19.36%;"CCNI;NDUFA2;SOD1;GRIN3A;IL1B;PSMD13;NDUFB8;SEM1;TUBA8;CREB5;PSMD4;CREB3L1;PSMC5;VDAC2;COX6C;PSMA7;CYBA;UQCR11;UQCRC2;NDUFB7;PSMC3;NDUFB10;PSMD3;PSMB3;PSMC1;GDNF;NDUFAB1;PSMC6;DDIT3;KLC1;NDUFA13;UQCRB;PSMC2;PPP3CC;NDUFB9;PSMD6;NDUFS6;PSMB6;PSMA2;NDUFV2;PSMA6;NDUFS5;PSMC4;TUBB6;NDUFC2;PSMD14;COX7A2;TUBA1C;NDUFA11;NDUFA3;VDAC3;PTGS2;PSMD9;PSMD12;ATP5PB;PPIF;NDUFS2;TUBA4A;UQCRQ;EIF2S1;COX7C;NDUFA8;HSPA8;PSMB4;PSMD8;NDUFA1;NDUFA10;NDUFS4;SDHD;UQCRC1;NDUFB3;UQCRH;NDUFC1;NDUFA5;STIP1;LAMC1;KIF5C;ATF4;PSMD7;PSMB5;MAPK9;NDUFS7;NCF1;PSMA4;NDUFA12;MAPK13;RAC2;CYCS;PSMD2;PRKCA"
7;prerank;HUNTINGTON DISEASE;-0.4673595285579067;-2.1745937629160492;0.0;0.0;0.0;98/233;19.35%;"CCNI;NDUFA2;SOD1;TFAM;PSMD13;NDUFB8;DCTN2;SEM1;TUBA8;CREB5;PSMD4;CREB3L1;POLR2C;POLR2E;PSMC5;AP2S1;VDAC2;COX6C;PSMA7;UQCR11;PLCB3;UQCRC2;NDUFB7;PSMC3;NDUFB10;PSMD3;PSMB3;PSMC1;NDUFAB1;PSMC6;KLC1;POLR2F;NDUFA13;UQCRB;NRBF2;PSMC2;NDUFB9;PSMD6;NDUFS6;PSMB6;PSMA2;NDUFV2;PSMA6;NDUFS5;PSMC4;TUBB6;NDUFC2;PSMD14;COX7A2;TUBA1C;NDUFA11;NDUFA3;VDAC3;PTGS2;PSMD9;PSMD12;ATP5PB;PPIF;NDUFS2;TUBA4A;UQCRQ;POLR2G;IFT57;HDAC2;COX7C;NDUFA8;POLR2L;CASP8;DNAH1;PSMB4;PSMD8;ACTR1B;NDUFA1;NDUFA10;NDUFS4;SDHD;AP2M1;UQCRC1;NDUFB3;UQCRH;NRF1;NDUFC1;NDUFA5;BDNF;POLR2I;KIF5C;PSMD7;TAF4;PSMB5;MAPK9;NDUFS7;PSMA4;NDUFA12;GPX7;STX1A;CYCS;PSMD2;POLR2K"
8;prerank;HEDGEHOG SIGNALING PATHWAY;0.5204002897707106;2.136118664664388;0.0;0.006674082313681869;0.005;16/45;12.36%;"BOC;GSK3B;MGRN1;CCND1;CCND2;CSNK1E;CSNK1G1;CDON;ARRB1;BCL2;PTCH1;MEGF8;SUFU;CSNK1D;IQCE;CUL3"
9;prerank;TH1 AND TH2 CELL DIFFERENTIATION;0.4754899101139193;2.0013703692349725;0.0;0.022024471635150165;0.033;28/53;25.29%;"MAML1;NOTCH1;MAPK3;MAPK14;NOTCH2;JAG2;MAML2;NFATC3;IL2RA;FOS;STAT6;NOTCH3;JAK1;CHUK;NFATC2;RELA;MAF;IFNGR2;TYK2;NFKBIA;PPP3R1;JAK3;PLCG1;MAPK1;NFATC1;MAML3;MAPK11;MAPK12"
