sample;sex;genotype;treatment;distance_au_centroide;z_score;outlier_suspect
Female_Healthy_BIM+BAK_1;Female;Healthy;BIM+BAK;13.964124990408996;1.5871139384768675;False
Male_Healthy_BIM+BAK_1;Male;Healthy;BIM+BAK;21.84715709016359;1.5651886193009656;False
Female_Mutant_Untreated_4;Female;Mutant;Untreated;10.5258333354927;1.4689393804248914;False
Male_Mutant_BIM+BAK_2;Male;Mutant;BIM+BAK;38.6706284329221;1.3762820465704466;False
Male_Mutant_Untreated_2;Male;Mutant;Untreated;33.10233128779226;1.2874080130401298;False
Female_Mutant_BIM+BAK_3;Female;Mutant;BIM+BAK;32.284975229552884;1.2801380402143834;False
Male_Healthy_BIM-PF_4;Male;Healthy;BIM-PF;15.857283384283468;1.2730181502304565;False
Female_Healthy_BIM-PF_5;Female;Healthy;BIM-PF;9.376554220468226;1.2343532103544947;False
Male_Mutant_BIM-PF_2;Male;Mutant;BIM-PF;10.04253298132799;1.0646411745378437;False
Male_Healthy_Untreated_1;Male;Healthy;Untreated;11.135910012257288;1.0448085260313982;False
Male_Healthy_Untreated_2;Male;Healthy;Untreated;11.0102972097834;1.0167563597940796;False
Male_Mutant_BIM-PF_1;Male;Mutant;BIM-PF;9.373552240269733;0.8681334486464446;False
Female_Healthy_Untreated_5;Female;Healthy;Untreated;3.9653290485107946;0.8678175943981736;False
Male_Healthy_BIM-PF_3;Male;Healthy;BIM-PF;13.011627427465283;0.8182063494285198;False
Female_Mutant_BIM-PF_4;Female;Mutant;BIM-PF;20.353988368422474;0.7754244840649227;False
Female_Healthy_Untreated_2;Female;Healthy;Untreated;3.814659674772674;0.7506319429504953;False
Male_Mutant_BIM+BAK_5;Male;Mutant;BIM+BAK;27.95048956745502;0.5897778082097407;False
Female_Mutant_BIM-PF_1;Female;Mutant;BIM-PF;18.801105286494607;0.5442147783852931;False
Female_Healthy_BIM-PF_2;Female;Healthy;BIM-PF;7.359354258124666;0.447340145316007;False
Female_Mutant_Untreated_5;Female;Mutant;Untreated;7.92553569485858;0.4403554988930015;False
Male_Mutant_Untreated_5;Male;Mutant;Untreated;24.451253359993057;0.4140647765295147;False
Female_Healthy_BIM+BAK_2;Female;Healthy;BIM+BAK;8.650939577285953;0.3963062355762011;False
Male_Healthy_BIM+BAK_4;Male;Healthy;BIM+BAK;12.343962203747829;0.385683150103765;False
Female_Healthy_Untreated_1;Female;Healthy;Untreated;3.207553727948087;0.27844503388392655;False
Male_Mutant_Untreated_4;Male;Mutant;Untreated;23.076778699196034;0.27530887133705323;False
Female_Mutant_BIM-PF_3;Female;Mutant;BIM-PF;16.597794417886103;0.21616248431350757;False
Female_Mutant_BIM-PF_5;Female;Mutant;BIM-PF;16.494120131558198;0.20072635682433318;False
Female_Mutant_BIM+BAK_1;Female;Mutant;BIM+BAK;20.168780923584134;0.16888217611730902;False
Female_Mutant_BIM+BAK_5;Female;Mutant;BIM+BAK;19.52601825406664;0.10993018445338064;False
Female_Healthy_BIM-PF_4;Female;Healthy;BIM-PF;6.120531216590503;-0.03598819949785822;False
Female_Mutant_BIM+BAK_2;Female;Mutant;BIM+BAK;17.93479734065011;-0.036011150462066564;False
Female_Mutant_Untreated_1;Female;Mutant;Untreated;6.486253312933245;-0.12897265642548017;False
Female_Healthy_BIM-PF_1;Female;Healthy;BIM-PF;5.842844408372038;-0.14432805183598127;False
Male_Mutant_BIM-PF_5;Male;Mutant;BIM-PF;5.905409160255322;-0.1506057584666563;False
Male_Mutant_BIM+BAK_4;Male;Mutant;BIM+BAK;17.642944008005248;-0.16645570437266344;False
Male_Healthy_Untreated_5;Male;Healthy;Untreated;5.412092040280664;-0.23344886572943707;False
Male_Healthy_BIM-PF_1;Male;Healthy;BIM-PF;5.937656484007995;-0.3124030820825812;False
Female_Healthy_Untreated_3;Female;Healthy;Untreated;2.4467199527193397;-0.3133062914288389;False
